編號,成語,注音,漢語拼音
701.0,左右逢源,ㄗㄨㄛˇ　ㄧㄡˋ　ㄈㄥˊ　ㄩㄢˊ,zuǒ yòu féng yuán
702.0,傾國傾城,ㄑㄧㄥ　ㄍㄨㄛˊ　ㄑㄧㄥ　ㄔㄥˊ,qīng guó qīng chéng 
703.0,待價而沽,ㄉㄞˋ　ㄐㄧㄚˋ　ㄦˊ　ㄍㄨ,dài jià ér gū
704.0,焚膏繼晷,ㄈㄣˊ　ㄍㄠ　ㄐㄧˋ　ㄍㄨㄟˇ,fén gāo jì guǐ
705.0,狡兔三窟,ㄐㄧㄠˇ　ㄊㄨˋ　ㄙㄢ　ㄎㄨ,jiǎo tù sān kū
706.0,忠言逆耳,ㄓㄨㄥ　ㄧㄢˊ　ㄋㄧˋ　ㄦˇ,zhōng yán nì ěr
707.0,嗟來之食,ㄐㄧㄝ　ㄌㄞˊ　ㄓ　ㄕˊ,jiē lái zhī shí
708.0,斷章取義,ㄉㄨㄢˋ　ㄓㄤ　ㄑㄩˇ　ㄧˋ,duàn zhāng qǔ yì
709.0,上下其手,ㄕㄤˋ　ㄒㄧㄚˋ　ㄑㄧˊ　ㄕㄡˇ,shàng xià qí shǒu
710.0,一日三秋,ㄧ　ㄖˋ　ㄙㄢ　ㄑㄧㄡ　（變）　ㄧˊ　ㄖˋ　ㄙㄢ　ㄑㄧㄡ,yī rì sān qiū （變） yí rì sān qiū
711.0,出生入死,ㄔㄨ　ㄕㄥ　ㄖㄨˋ　ㄙˇ,chū shēng rù sǐ
712.0,諱莫如深,ㄏㄨㄟˋ　ㄇㄛˋ　ㄖㄨˊ　ㄕㄣ,huì mò rú shēn
713.0,一字千金,ㄧ　ㄗˋ　ㄑㄧㄢ　ㄐㄧㄣ　（變）　ㄧˊ　ㄗˋ　ㄑㄧㄢ　ㄐㄧㄣ,yī zì qiān jīn （變） yí zì qiān jīn
714.0,日薄西山,ㄖˋ　ㄅㄛˊ　ㄒㄧ　ㄕㄢ,rì bó xī shān
715.0,首鼠兩端,ㄕㄡˇ　ㄕㄨˇ　ㄌㄧㄤˇ　ㄉㄨㄢ,shǒu shǔ liǎng duān
716.0,心曠神怡,ㄒㄧㄣ　ㄎㄨㄤˋ　ㄕㄣˊ　ㄧˊ,xīn kuàng shén yí
717.0,洞若觀火,ㄉㄨㄥˋ　ㄖㄨㄛˋ　ㄍㄨㄢ　ㄏㄨㄛˇ,dòng ruò guān huǒ
718.0,心腹之患,ㄒㄧㄣ　ㄈㄨˋ　ㄓ　ㄏㄨㄢˋ,xīn fù zhī huàn
719.0,專心致志,ㄓㄨㄢ　ㄒㄧㄣ　ㄓˋ　ㄓˋ,zhuān xīn zhì zhì
720.0,嘔心瀝血,ㄡˇ　ㄒㄧㄣ　ㄌㄧˋ　ㄒㄧㄝˇ,ǒu xīn lì xiě
721.0,兵不血刃,ㄅㄧㄥ　ㄅㄨˋ　ㄒㄧㄝˇ　ㄖㄣˋ,bīng bù xiě rèn
722.0,循循善誘,ㄒㄩㄣˊ　ㄒㄩㄣˊ　ㄕㄢˋ　ㄧㄡˋ,xún xún shàn yòu 
723.0,暴殄天物,ㄅㄠˋ　ㄊㄧㄢˇ　ㄊㄧㄢ　ㄨˋ,bào tiǎn tiān wù
724.0,不翼而飛,ㄅㄨˋ　ㄧˋ　ㄦˊ　ㄈㄟ　（變）　ㄅㄨˊ　ㄧˋ　ㄦˊ　ㄈㄟ,bù yì ér fēi （變） bú yì ér fēi
725.0,人面桃花,ㄖㄣˊ　ㄇㄧㄢˋ　ㄊㄠˊ　ㄏㄨㄚ,rén miàn táo huā
726.0,塞翁失馬,ㄙㄞˋ　ㄨㄥ　ㄕ　ㄇㄚˇ,sài wēng shī mǎ
727.0,得過且過,ㄉㄜˊ　ㄍㄨㄛˋ　ㄑㄧㄝˇ　ㄍㄨㄛˋ,dé guò qiě guò
728.0,怙惡不悛,ㄏㄨˋ　ㄜˋ　ㄅㄨˋ　ㄑㄩㄢ,hù è bù quān
729.0,七嘴八舌,ㄑㄧ　ㄗㄨㄟˇ　ㄅㄚ　ㄕㄜˊ,qī zuǐ bā shé
730.0,危言聳聽,ㄨㄟˊ　ㄧㄢˊ　ㄙㄨㄥˇ　ㄊㄧㄥ,wéi yán sǒng tīng
731.0,如雷貫耳,ㄖㄨˊ　ㄌㄟˊ　ㄍㄨㄢˋ　ㄦˇ,rú léi guàn ěr
732.0,瓜熟蒂落,ㄍㄨㄚ　ㄕㄡˊ　ㄉㄧˋ　ㄌㄨㄛˋ,guā shóu dì luò
733.0,任勞任怨,ㄖㄣˋ　ㄌㄠˊ　ㄖㄣˋ　ㄩㄢˋ,rèn láo rèn yuàn
734.0,口誅筆伐,ㄎㄡˇ　ㄓㄨ　ㄅㄧˇ　ㄈㄚ,kǒu zhū bǐ fā
735.0,一波三折,ㄧ　ㄅㄛ　ㄙㄢ　ㄓㄜˊ　（變）　ㄧˋ　ㄅㄛ　ㄙㄢ　ㄓㄜˊ,yī bō sān zhé （變） yì bō sān zhé
736.0,羽毛未豐,ㄩˇ　ㄇㄠˊ　ㄨㄟˋ　ㄈㄥ,yǔ máo wèi fēng
737.0,七竅生煙,ㄑㄧ　ㄑㄧㄠˋ　ㄕㄥ　ㄧㄢ,qī qiào shēng yān
738.0,有聲有色,ㄧㄡˇ　ㄕㄥ　ㄧㄡˇ　ㄙㄜˋ,yǒu shēng yǒu sè
739.0,含血噴人,ㄏㄢˊ　ㄒㄧㄝˇ　ㄆㄣ　ㄖㄣˊ,hán xiě pēn rén
740.0,力爭上游,ㄌㄧˋ　ㄓㄥ　ㄕㄤˋ　ㄧㄡˊ,lì zhēng shàng yóu
741.0,一孔之見,ㄧ　ㄎㄨㄥˇ　ㄓ　ㄐㄧㄢˋ　（變）　ㄧˋ　ㄎㄨㄥˇ　ㄓ　ㄐㄧㄢˋ,yī kǒng zhī jiàn （變） yì kǒng zhī jiàn
742.0,簞食瓢飲,ㄉㄢ　ㄙˋ　ㄆㄧㄠˊ　ㄧㄣˇ,dān sì piáo yǐn
743.0,另起爐灶,ㄌㄧㄥˋ　ㄑㄧˇ　ㄌㄨˊ　ㄗㄠˋ,lìng qǐ lú zào
744.0,兄弟鬩牆,ㄒㄩㄥ　ㄉㄧˋ　ㄒㄧˋ　ㄑㄧㄤˊ,xiōng dì xì qiáng
745.0,古道熱腸,ㄍㄨˇ　ㄉㄠˋ　ㄖㄜˋ　ㄔㄤˊ,gǔ dào rè cháng
746.0,拖泥帶水,ㄊㄨㄛ　ㄋㄧˊ　ㄉㄞˋ　ㄕㄨㄟˇ,tuō ní dài shuǐ
747.0,兩小無猜,ㄌㄧㄤˇ　ㄒㄧㄠˇ　ㄨˊ　ㄘㄞ,liǎng xiǎo wú cāi
748.0,人定勝天,ㄖㄣˊ　ㄉㄧㄥˋ　ㄕㄥˋ　ㄊㄧㄢ,rén dìng shèng tiān
749.0,十惡不赦,ㄕˊ　ㄜˋ　ㄅㄨˋ　ㄕㄜˋ　（變）　ㄕˊ　ㄜˋ　ㄅㄨˊ　ㄕㄜˋ,shí è bù shè （變） shí è bú shè
750.0,一刻千金,ㄧ　ㄎㄜˋ　ㄑㄧㄢ　ㄐㄧㄣ　（變）　ㄧˊ　ㄎㄜˋ　ㄑㄧㄢ　ㄐㄧㄣ,yī kè qiān jīn （變） yí kè qiān jīn
751.0,普天同慶,ㄆㄨˇ　ㄊㄧㄢ　ㄊㄨㄥˊ　ㄑㄧㄥˋ,pǔ tiān tóng qìng
752.0,麻木不仁,ㄇㄚˊ　ㄇㄨˋ　ㄅㄨˋ　ㄖㄣˊ,má mù bù rén
753.0,渾渾噩噩,ㄏㄨㄣˊ　ㄏㄨㄣˊ　ㄜˋ　ㄜˋ,hún hún è è
754.0,推己及人,ㄊㄨㄟ　ㄐㄧˇ　ㄐㄧˊ　ㄖㄣˊ,tuī jǐ jí rén
755.0,欲擒故縱,ㄩˋ　ㄑㄧㄣˊ　ㄍㄨˋ　ㄗㄨㄥˋ,yù qín gù zòng
756.0,吳下阿蒙,ㄨˊ　ㄒㄧㄚˋ　ㄚˋ　ㄇㄥˊ,wú xià à méng
757.0,國色天香,ㄍㄨㄛˊ　ㄙㄜˋ　ㄊㄧㄢ　ㄒㄧㄤ,guó sè tiān xiāng
758.0,無與倫比,ㄨˊ　ㄩˇ　ㄌㄨㄣˊ　ㄅㄧˇ,wú yǔ lún bǐ
759.0,開宗明義,ㄎㄞ　ㄗㄨㄥ　ㄇㄧㄥˊ　ㄧˋ,kāi zōng míng yì
760.0,重見天日,ㄔㄨㄥˊ　ㄐㄧㄢˋ　ㄊㄧㄢ　ㄖˋ,chóng jiàn tiān rì
761.0,約法三章,ㄩㄝ　ㄈㄚˇ　ㄙㄢ　ㄓㄤ,yuē fǎ sān zhāng
762.0,血流漂杵,ㄒㄧㄝˇ　ㄌㄧㄡˊ　ㄆㄧㄠ　ㄔㄨˇ,xiě liú piāo chǔ
763.0,有恃無恐,ㄧㄡˇ　ㄕˋ　ㄨˊ　ㄎㄨㄥˇ,yǒu shì wú kǒng
764.0,萬劫不復,ㄨㄢˋ　ㄐㄧㄝˊ　ㄅㄨˋ　ㄈㄨˋ　（變）　ㄨㄢˋ　ㄐㄧㄝˊ　ㄅㄨˊ　ㄈㄨˋ,wàn jié bù fù （變） wàn jié bú fù
765.0,平易近人,ㄆㄧㄥˊ　ㄧˋ　ㄐㄧㄣˋ　ㄖㄣˊ,píng yì jìn rén
766.0,快刀斬亂麻,ㄎㄨㄞˋ　ㄉㄠ　ㄓㄢˇ　ㄌㄨㄢˋ　ㄇㄚˊ,kuài dāo zhǎn luàn má
767.0,躊躇滿志,ㄔㄡˊ　ㄔㄨˊ　ㄇㄢˇ　ㄓˋ,chóu chú mǎn zhì
768.0,不屈不撓,ㄅㄨˋ　ㄑㄩ　ㄅㄨˋ　ㄋㄠˊ,bù qū bù náo 
769.0,以德報怨,ㄧˇ　ㄉㄜˊ　ㄅㄠˋ　ㄩㄢˋ,yǐ dé bào yuàn
770.0,春風化雨,ㄔㄨㄣ　ㄈㄥ　ㄏㄨㄚˋ　ㄩˇ,chūn fēng huà yǔ 
771.0,繼往開來,ㄐㄧˋ　ㄨㄤˇ　ㄎㄞ　ㄌㄞˊ,jì wǎng kāi lái
772.0,窮兵黷武,ㄑㄩㄥˊ　ㄅㄧㄥ　ㄉㄨˊ　ㄨˇ,qióng bīng dú wǔ
773.0,聚精會神,ㄐㄩˋ　ㄐㄧㄥ　ㄏㄨㄟˋ　ㄕㄣˊ,jù jīng huì shén 
774.0,人浮於事,ㄖㄣˊ　ㄈㄨˊ　ㄩˊ　ㄕˋ,rén fú yú shì
775.0,白雲蒼狗,ㄅㄞˊ　ㄩㄣˊ　ㄘㄤ　ㄍㄡˇ,bái yún cāng gǒu 
776.0,目空一切,ㄇㄨˋ　ㄎㄨㄥ　ㄧ　ㄑㄧㄝˋ　（變）　ㄇㄨˋ　ㄎㄨㄥ　ㄧˊ　ㄑㄧㄝˋ,mù kōng yī qiè （變） mù kōng yí qiè
777.0,千篇一律,ㄑㄧㄢ　ㄆㄧㄢ　ㄧ　ㄌㄩˋ　（變）　ㄑㄧㄢ　ㄆㄧㄢ　ㄧˊ　ㄌㄩˋ,qiān piān yī lǜ （變） qiān piān yí lǜ
778.0,變本加厲,ㄅㄧㄢˋ　ㄅㄣˇ　ㄐㄧㄚ　ㄌㄧˋ,biàn běn jiā lì
779.0,體貼入微,ㄊㄧˇ　ㄊㄧㄝ　ㄖㄨˋ　ㄨㄟˊ,tǐ tiē rù wéi
780.0,如釋重負,ㄖㄨˊ　ㄕˋ　ㄓㄨㄥˋ　ㄈㄨˋ,rú shì zhòng fù
781.0,深居簡出,ㄕㄣ　ㄐㄩ　ㄐㄧㄢˇ　ㄔㄨ,shēn jū jiǎn chū
782.0,每下愈況,ㄇㄟˇ　ㄒㄧㄚˋ　ㄩˋ　ㄎㄨㄤˋ,měi xià yù kuàng
783.0,同仇敵愾,ㄊㄨㄥˊ　ㄔㄡˊ　ㄉㄧˊ　ㄎㄞˋ,tóng chóu dí kài
784.0,文質彬彬,ㄨㄣˊ　ㄓˊ　ㄅㄧㄣ　ㄅㄧㄣ,wén zhí bīn bīn
785.0,一成不變,ㄧ　ㄔㄥˊ　ㄅㄨˋ　ㄅㄧㄢˋ　（變）　ㄧˋ　ㄔㄥˊ　ㄅㄨˊ　ㄅㄧㄢˋ,yī chéng bù biàn （變） yì chéng bú biàn
786.0,行將就木,ㄒㄧㄥˊ　ㄐㄧㄤ　ㄐㄧㄡˋ　ㄇㄨˋ,xíng jiāng jiù mù
787.0,自顧不暇,ㄗˋ　ㄍㄨˋ　ㄅㄨˋ　ㄒㄧㄚˊ,zì gù bù xiá
788.0,血氣方剛,ㄒㄧㄝˇ　ㄑㄧˋ　ㄈㄤ　ㄍㄤ,xiě qì fāng gāng
789.0,自命不凡,ㄗˋ　ㄇㄧㄥˋ　ㄅㄨˋ　ㄈㄢˊ,zì mìng bù fán
790.0,三教九流,ㄙㄢ　ㄐㄧㄠˋ　ㄐㄧㄡˇ　ㄌㄧㄡˊ,sān jiào jiǔ liú
791.0,老氣橫秋,ㄌㄠˇ　ㄑㄧˋ　ㄏㄥˊ　ㄑㄧㄡ,lǎo qì héng qiū
792.0,移風易俗,ㄧˊ　ㄈㄥ　ㄧˋ　ㄙㄨˊ,yí fēng yì sú
793.0,有志竟成,ㄧㄡˇ　ㄓˋ　ㄐㄧㄥˋ　ㄔㄥˊ,yǒu zhì jìng chéng
794.0,推波助瀾,ㄊㄨㄟ　ㄅㄛ　ㄓㄨˋ　ㄌㄢˊ,tuī bō zhù lán
795.0,有口皆碑,ㄧㄡˇ　ㄎㄡˇ　ㄐㄧㄝ　ㄅㄟ,yǒu kǒu jiē bēi
796.0,捲土重來,ㄐㄩㄢˇ　ㄊㄨˇ　ㄔㄨㄥˊ　ㄌㄞˊ,juǎn tǔ chóng lái
797.0,投其所好,ㄊㄡˊ　ㄑㄧˊ　ㄙㄨㄛˇ　ㄏㄠˋ,tóu qí suǒ hào 
798.0,驚心動魄,ㄐㄧㄥ　ㄒㄧㄣ　ㄉㄨㄥˋ　ㄆㄛˋ,jīng xīn dòng pò
799.0,驚天動地,ㄐㄧㄥ　ㄊㄧㄢ　ㄉㄨㄥˋ　ㄉㄧˋ,jīng tiān dòng dì
800.0,沐猴而冠,ㄇㄨˋ　ㄏㄡˊ　ㄦˊ　ㄍㄨㄢˋ,mù hóu ér guàn
801.0,作繭自縛,ㄗㄨㄛˋ　ㄐㄧㄢˇ　ㄗˋ　ㄈㄨˊ,zuò jiǎn zì fú
802.0,言人人殊,ㄧㄢˊ　ㄖㄣˊ　ㄖㄣˊ　ㄕㄨ,yán rén rén shū
803.0,下筆成章,ㄒㄧㄚˋ　ㄅㄧˇ　ㄔㄥˊ　ㄓㄤ,xià bǐ chéng zhāng
804.0,豁然開朗,ㄏㄨㄛˋ　ㄖㄢˊ　ㄎㄞ　ㄌㄤˇ,huò rán kāi lǎng
805.0,言過其實,ㄧㄢˊ　ㄍㄨㄛˋ　ㄑㄧˊ　ㄕˊ,yán guò qí shí
806.0,歷歷在目,ㄌㄧˋ　ㄌㄧˋ　ㄗㄞˋ　ㄇㄨˋ,lì lì zài mù
807.0,垂涎三尺,ㄔㄨㄟˊ　ㄒㄧㄢˊ　ㄙㄢ　ㄔˇ,chuí xián sān chǐ
808.0,窮途末路,ㄑㄩㄥˊ　ㄊㄨˊ　ㄇㄛˋ　ㄌㄨˋ,qióng tú mò lù
809.0,和衷共濟,ㄏㄜˊ　ㄓㄨㄥ　ㄍㄨㄥˋ　ㄐㄧˋ,hé zhōng gòng jì
810.0,鏡花水月,ㄐㄧㄥˋ　ㄏㄨㄚ　ㄕㄨㄟˇ　ㄩㄝˋ,jìng huā shuǐ yuè
811.0,侃侃而談,ㄎㄢˇ　ㄎㄢˇ　ㄦˊ　ㄊㄢˊ,kǎn kǎn ér tán
812.0,一衣帶水,ㄧ　ㄧ　ㄉㄞˋ　ㄕㄨㄟˇ　（變）　ㄧˋ　ㄧ　ㄉㄞˋ　ㄕㄨㄟˇ,yī yī dài shuǐ （變） yì yī dài shuǐ
813.0,門當戶對,ㄇㄣˊ　ㄉㄤ　ㄏㄨˋ　ㄉㄨㄟˋ,mén dāng hù duì
814.0,融會貫通,ㄖㄨㄥˊ　ㄏㄨㄟˋ　ㄍㄨㄢˋ　ㄊㄨㄥ,róng huì guàn tōng
815.0,劍拔弩張,ㄐㄧㄢˋ　ㄅㄚˊ　ㄋㄨˇ　ㄓㄤ,jiàn bá nǔ zhāng
816.0,管窺蠡測,ㄍㄨㄢˇ　ㄎㄨㄟ　ㄌㄧˊ　ㄘㄜˋ,guǎn kuī lí cè
817.0,明知故犯,ㄇㄧㄥˊ　ㄓ　ㄍㄨˋ　ㄈㄢˋ,míng zhī gù fàn
818.0,壽終正寢,ㄕㄡˋ　ㄓㄨㄥ　ㄓㄥˋ　ㄑㄧㄣˇ,shòu zhōng zhèng qǐn
819.0,落花流水,ㄌㄨㄛˋ　ㄏㄨㄚ　ㄌㄧㄡˊ　ㄕㄨㄟˇ,luò huā liú shuǐ
820.0,江河日下,ㄐㄧㄤ　ㄏㄜˊ　ㄖˋ　ㄒㄧㄚˋ,jiāng hé rì xià
821.0,腦滿腸肥,ㄋㄠˇ　ㄇㄢˇ　ㄔㄤˊ　ㄈㄟˊ,nǎo mǎn cháng féi
822.0,色厲內荏,ㄙㄜˋ　ㄌㄧˋ　ㄋㄟˋ　ㄖㄣˇ,sè lì nèi rěn
823.0,耳提面命,ㄦˇ　ㄊㄧˊ　ㄇㄧㄢˋ　ㄇㄧㄥˋ,ěr tí miàn mìng
824.0,萍水相逢,ㄆㄧㄥˊ　ㄕㄨㄟˇ　ㄒㄧㄤ　ㄈㄥˊ,píng shuǐ xiāng féng
825.0,愁眉不展,ㄔㄡˊ　ㄇㄟˊ　ㄅㄨˋ　ㄓㄢˇ,chóu méi bù zhǎn
826.0,體無完膚,ㄊㄧˇ　ㄨˊ　ㄨㄢˊ　ㄈㄨ,tǐ wú wán fū
827.0,視死如歸,ㄕˋ　ㄙˇ　ㄖㄨˊ　ㄍㄨㄟ,shì sǐ rú guī
828.0,虛懷若谷,ㄒㄩ　ㄏㄨㄞˊ　ㄖㄨㄛˋ　ㄍㄨˇ,xū huái ruò gǔ
829.0,無出其右,ㄨˊ　ㄔㄨ　ㄑㄧˊ　ㄧㄡˋ,wú chū qí yòu
830.0,三人成虎,ㄙㄢ　ㄖㄣˊ　ㄔㄥˊ　ㄏㄨˇ,sān rén chéng hǔ
831.0,勞燕分飛,ㄌㄠˊ　ㄧㄢˋ　ㄈㄣ　ㄈㄟ,láo yàn fēn fēi
832.0,風吹草動,ㄈㄥ　ㄔㄨㄟ　ㄘㄠˇ　ㄉㄨㄥˋ,fēng chuī cǎo dòng
833.0,倚老賣老,ㄧˇ　ㄌㄠˇ　ㄇㄞˋ　ㄌㄠˇ,yǐ lǎo mài lǎo
834.0,無中生有,ㄨˊ　ㄓㄨㄥ　ㄕㄥ　ㄧㄡˇ,wú zhōng shēng yǒu
835.0,釜底抽薪,ㄈㄨˇ　ㄉㄧˇ　ㄔㄡ　ㄒㄧㄣ,fǔ dǐ chōu xīn
836.0,唾手可得,ㄊㄨㄛˋ　ㄕㄡˇ　ㄎㄜˇ　ㄉㄜˊ,tuò shǒu kě dé
837.0,狼狽不堪,ㄌㄤˊ　ㄅㄟˋ　ㄅㄨˋ　ㄎㄢ,láng bèi bù kān
838.0,運籌帷幄,ㄩㄣˋ　ㄔㄡˊ　ㄨㄟˊ　ㄨㄛˋ,yùn chóu wéi wò 
839.0,狹路相逢,ㄒㄧㄚˊ　ㄌㄨˋ　ㄒㄧㄤ　ㄈㄥˊ,xiá lù xiāng féng
840.0,神魂顛倒,ㄕㄣˊ　ㄏㄨㄣˊ　ㄉㄧㄢ　ㄉㄠˇ,shén hún diān dǎo
841.0,鬼斧神工,ㄍㄨㄟˇ　ㄈㄨˇ　ㄕㄣˊ　ㄍㄨㄥ,guǐ fǔ shén gōng
842.0,高談闊論,ㄍㄠ　ㄊㄢˊ　ㄎㄨㄛˋ　ㄌㄨㄣˋ,gāo tán kuò lùn
843.0,流離失所,ㄌㄧㄡˊ　ㄌㄧˊ　ㄕ　ㄙㄨㄛˇ,liú lí shī suǒ
844.0,莫衷一是,ㄇㄛˋ　ㄓㄨㄥ　ㄧ　ㄕˋ　（變）　ㄇㄛˋ　ㄓㄨㄥ　ㄧˊ　ㄕˋ,mò zhōng yī shì （變） mò zhōng yí shì
845.0,掌上明珠,ㄓㄤˇ　ㄕㄤˋ　ㄇㄧㄥˊ　ㄓㄨ,zhǎng shàng míng zhū
846.0,提綱挈領,ㄊㄧˊ　ㄍㄤ　ㄑㄧㄝˋ　ㄌㄧㄥˇ,tí gāng qiè lǐng
847.0,無病呻吟,ㄨˊ　ㄅㄧㄥˋ　ㄕㄣ　ㄧㄣˊ,wú bìng shēn yín
848.0,喧賓奪主,ㄒㄩㄢ　ㄅㄧㄣ　ㄉㄨㄛˊ　ㄓㄨˇ,xuān bīn duó zhǔ
849.0,虛有其表,ㄒㄩ　ㄧㄡˇ　ㄑㄧˊ　ㄅㄧㄠˇ,xū yǒu qí biǎo
850.0,搖尾乞憐,ㄧㄠˊ　ㄨㄟˇ　ㄑㄧˇ　ㄌㄧㄢˊ,yáo wěi qǐ lián 
851.0,改過自新,ㄍㄞˇ　ㄍㄨㄛˋ　ㄗˋ　ㄒㄧㄣ,gǎi guò zì xīn
852.0,邯鄲學步,ㄏㄢˊ　ㄉㄢ　ㄒㄩㄝˊ　ㄅㄨˋ,hán dān xué bù
853.0,月下老人,ㄩㄝˋ　ㄒㄧㄚˋ　ㄌㄠˇ　ㄖㄣˊ,yuè xià lǎo rén
854.0,馬首是瞻,ㄇㄚˇ　ㄕㄡˇ　ㄕˋ　ㄓㄢ,mǎ shǒu shì zhān
855.0,疲於奔命,ㄆㄧˊ　ㄩˊ　ㄅㄣ　ㄇㄧㄥˋ,pí yú bēn mìng
856.0,害群之馬,ㄏㄞˋ　ㄑㄩㄣˊ　ㄓ　ㄇㄚˇ,hài qún zhī mǎ
857.0,鹿死誰手,ㄌㄨˋ　ㄙˇ　ㄕㄨㄟˊ　ㄕㄡˇ,lù sǐ shuí shǒu
858.0,捨生取義,ㄕㄜˇ　ㄕㄥ　ㄑㄩˇ　ㄧˋ,shě shēng qǔ yì
859.0,學富五車,ㄒㄩㄝˊ　ㄈㄨˋ　ㄨˇ　ㄐㄩ,xué fù wǔ jū
860.0,集思廣益,ㄐㄧˊ　ㄙ　ㄍㄨㄤˇ　ㄧˋ,jí sī guǎng yì
861.0,鶉衣百結,ㄔㄨㄣˊ　ㄧ　ㄅㄞˇ　ㄐㄧㄝˊ,chún yī bǎi jié
862.0,期期艾艾,ㄑㄧˊ　ㄑㄧˊ　ㄞˋ　ㄞˋ,qí qí ài ài
863.0,殃及池魚,ㄧㄤ　ㄐㄧˊ　ㄔˊ　ㄩˊ,yāng jí chí yú
864.0,患得患失,ㄏㄨㄢˋ　ㄉㄜˊ　ㄏㄨㄢˋ　ㄕ,huàn dé huàn shī
865.0,瞻前顧後,ㄓㄢ　ㄑㄧㄢˊ　ㄍㄨˋ　ㄏㄡˋ,zhān qián gù hòu
866.0,長袖善舞,ㄔㄤˊ　ㄒㄧㄡˋ　ㄕㄢˋ　ㄨˇ,cháng xiù shàn wǔ
867.0,樹倒猢猻散,ㄕㄨˋ　ㄉㄠˇ　ㄏㄨˊ　ㄙㄨㄣ　ㄙㄢˋ,shù dǎo hú sūn sàn
868.0,靡靡之音,ㄇㄧˇ　ㄇㄧˇ　ㄓ　ㄧㄣ,mǐ mǐ zhī yīn
869.0,疾言厲色,ㄐㄧˊ　ㄧㄢˊ　ㄌㄧˋ　ㄙㄜˋ,jí yán lì sè
870.0,立錐之地,ㄌㄧˋ　ㄓㄨㄟ　ㄓ　ㄉㄧˋ,lì zhuī zhī dì
871.0,亭亭玉立,ㄊㄧㄥˊ　ㄊㄧㄥˊ　ㄩˋ　ㄌㄧˋ,tíng tíng yù lì
872.0,天作之合,ㄊㄧㄢ　ㄗㄨㄛˋ　ㄓ　ㄏㄜˊ,tiān zuò zhī hé
873.0,淋漓盡致,ㄌㄧㄣˊ　ㄌㄧˊ　ㄐㄧㄣˋ　ㄓˋ,lín lí jìn zhì
874.0,包羅萬象,ㄅㄠ　ㄌㄨㄛˊ　ㄨㄢˋ　ㄒㄧㄤˋ,bāo luó wàn xiàng
875.0,迫不及待,ㄆㄛˋ　ㄅㄨˋ　ㄐㄧˊ　ㄉㄞˋ,pò bù jí dài
876.0,海誓山盟,ㄏㄞˇ　ㄕˋ　ㄕㄢ　ㄇㄥˊ,hǎi shì shān méng
877.0,仁至義盡,ㄖㄣˊ　ㄓˋ　ㄧˋ　ㄐㄧㄣˋ,rén zhì yì jìn
878.0,悲天憫人,ㄅㄟ　ㄊㄧㄢ　ㄇㄧㄣˇ　ㄖㄣˊ,bēi tiān mǐn rén
879.0,面面俱到,ㄇㄧㄢˋ　ㄇㄧㄢˋ　ㄐㄩˋ　ㄉㄠˋ,miàn miàn jù dào
880.0,借刀殺人,ㄐㄧㄝˋ　ㄉㄠ　ㄕㄚ　ㄖㄣˊ,jiè dāo shā rén
881.0,不見經傳,ㄅㄨˋ　ㄐㄧㄢˋ　ㄐㄧㄥ　ㄓㄨㄢˋ　（變）　ㄅㄨˊ　ㄐㄧㄢˋ　ㄐㄧㄥ　ㄓㄨㄢˋ,bù jiàn jīng zhuàn （變） bú jiàn jīng zhuàn
882.0,半斤八兩,ㄅㄢˋ　ㄐㄧㄣ　ㄅㄚ　ㄌㄧㄤˇ,bàn jīn bā liǎng
883.0,浮光掠影,ㄈㄨˊ　ㄍㄨㄤ　ㄌㄩㄝˋ　ㄧㄥˇ,fú guāng lüè yǐng
884.0,無所事事,ㄨˊ　ㄙㄨㄛˇ　ㄕˋ　ㄕˋ,wú suǒ shì shì
885.0,無的放矢,ㄨˊ　ㄉㄧˋ　ㄈㄤˋ　ㄕˇ,wú dì fàng shǐ
886.0,猶豫不決,ㄧㄡˊ　ㄩˋ　ㄅㄨˋ　ㄐㄩㄝˊ,yóu yù bù jué
887.0,山高水長,ㄕㄢ　ㄍㄠ　ㄕㄨㄟˇ　ㄔㄤˊ,shān gāo shuǐ cháng
888.0,秋毫無犯,ㄑㄧㄡ　ㄏㄠˊ　ㄨˊ　ㄈㄢˋ,qiū háo wú fàn
889.0,小家碧玉,ㄒㄧㄠˇ　ㄐㄧㄚ　ㄅㄧˋ　ㄩˋ,xiǎo jiā bì yù
890.0,世態炎涼,ㄕˋ　ㄊㄞˋ　ㄧㄢˊ　ㄌㄧㄤˊ,shì tài yán liáng
891.0,八拜之交,ㄅㄚ　ㄅㄞˋ　ㄓ　ㄐㄧㄠ,bā bài zhī jiāo
892.0,萬象更新,ㄨㄢˋ　ㄒㄧㄤˋ　ㄍㄥ　ㄒㄧㄣ,wàn xiàng gēng xīn
893.0,三姑六婆,ㄙㄢ　ㄍㄨ　ㄌㄧㄡˋ　ㄆㄛˊ,sān gū liù pó
894.0,死有餘辜,ㄙˇ　ㄧㄡˇ　ㄩˊ　ㄍㄨ,sǐ yǒu yú gū
895.0,罪不容誅,ㄗㄨㄟˋ　ㄅㄨˋ　ㄖㄨㄥˊ　ㄓㄨ,zuì bù róng zhū
896.0,古色古香,ㄍㄨˇ　ㄙㄜˋ　ㄍㄨˇ　ㄒㄧㄤ,gǔ sè gǔ xiāng
897.0,半路出家,ㄅㄢˋ　ㄌㄨˋ　ㄔㄨ　ㄐㄧㄚ,bàn lù chū jiā
