編號,成語,注音,漢語拼音
43.0,耳濡目染,ㄦˇ　ㄖㄨˊ　ㄇㄨˋ　ㄖㄢˇ,ěr rú mù rǎn 
44.0,杯水車薪,ㄅㄟ　ㄕㄨㄟˇ　ㄐㄩ　ㄒㄧㄣ,bēi shuǐ jū xīn
45.0,車載斗量,ㄔㄜ　ㄗㄞˋ　ㄉㄡˇ　ㄌㄧㄤˊ,chē zài dǒu liáng
46.0,燃眉之急,ㄖㄢˊ　ㄇㄟˊ　ㄓ　ㄐㄧˊ,rán méi zhī jí
47.0,言不由衷,ㄧㄢˊ　ㄅㄨˋ　ㄧㄡˊ　ㄓㄨㄥ,yán bù yóu zhōng
48.0,不倫不類,ㄅㄨˋ　ㄌㄨㄣˊ　ㄅㄨˋ　ㄌㄟˋ　（變）　ㄅㄨˋ　ㄌㄨㄣˊ　ㄅㄨˊ　ㄌㄟˋ,bù lún bù lèi （變） bù lún bú lèi
49.0,虎頭蛇尾,ㄏㄨˇ　ㄊㄡˊ　ㄕㄜˊ　ㄨㄟˇ,hǔ tóu shé wěi
50.0,空中樓閣,ㄎㄨㄥ　ㄓㄨㄥ　ㄌㄡˊ　ㄍㄜˊ,kōng zhōng lóu gé
51.0,天經地義,ㄊㄧㄢ　ㄐㄧㄥ　ㄉㄧˋ　ㄧˋ,tiān jīng dì yì
52.0,心猿意馬,ㄒㄧㄣ　ㄩㄢˊ　ㄧˋ　ㄇㄚˇ,xīn yuán yì mǎ
53.0,群策群力,ㄑㄩㄣˊ　ㄘㄜˋ　ㄑㄩㄣˊ　ㄌㄧˋ,qún cè qún lì
54.0,有備無患,ㄧㄡˇ　ㄅㄟˋ　ㄨˊ　ㄏㄨㄢˋ,yǒu bèi wú huàn
55.0,裹足不前,ㄍㄨㄛˇ　ㄗㄨˊ　ㄅㄨˋ　ㄑㄧㄢˊ,guǒ zú bù qián
56.0,戰戰兢兢,ㄓㄢˋ　ㄓㄢˋ　ㄐㄧㄥ　ㄐㄧㄥ,zhàn zhàn jīng jīng
57.0,借花獻佛,ㄐㄧㄝˋ　ㄏㄨㄚ　ㄒㄧㄢˋ　ㄈㄛˊ,jiè huā xiàn fó
58.0,故步自封,ㄍㄨˋ　ㄅㄨˋ　ㄗˋ　ㄈㄥ,gù bù zì fēng
59.0,笑裡藏刀,ㄒㄧㄠˋ　ㄌㄧˇ　ㄘㄤˊ　ㄉㄠ,xiào lǐ cáng dāo
60.0,水到渠成,ㄕㄨㄟˇ　ㄉㄠˋ　ㄑㄩˊ　ㄔㄥˊ,shuǐ dào qú chéng
61.0,芒刺在背,ㄇㄤˊ　ㄘˋ　ㄗㄞˋ　ㄅㄟˋ,máng cì zài bèi 
62.0,開門見山,ㄎㄞ　ㄇㄣˊ　ㄐㄧㄢˋ　ㄕㄢ,kāi mén jiàn shān
63.0,土崩瓦解,ㄊㄨˇ　ㄅㄥ　ㄨㄚˇ　ㄐㄧㄝˇ,tǔ bēng wǎ jiě
64.0,東施效顰,ㄉㄨㄥ　ㄕ　ㄒㄧㄠˋ　ㄆㄧㄣˊ,dōng shī xiào pín
65.0,從善如流,ㄘㄨㄥˊ　ㄕㄢˋ　ㄖㄨˊ　ㄌㄧㄡˊ,cóng shàn rú liú
66.0,袖手旁觀,ㄒㄧㄡˋ　ㄕㄡˇ　ㄆㄤˊ　ㄍㄨㄢ,xiù shǒu páng guān
67.0,因勢利導,ㄧㄣ　ㄕˋ　ㄌㄧˋ　ㄉㄠˇ,yīn shì lì dǎo
68.0,畏首畏尾,ㄨㄟˋ　ㄕㄡˇ　ㄨㄟˋ　ㄨㄟˇ,wèi shǒu wèi wěi
69.0,名不虛傳,ㄇㄧㄥˊ　ㄅㄨˋ　ㄒㄩ　ㄔㄨㄢˊ,míng bù xū chuán
70.0,喪心病狂,ㄙㄤˋ　ㄒㄧㄣ　ㄅㄧㄥˋ　ㄎㄨㄤˊ,sàng xīn bìng kuáng
71.0,見異思遷,ㄐㄧㄢˋ　ㄧˋ　ㄙ　ㄑㄧㄢ,jiàn yì sī qiān
