字詞號,字詞名,注音一式,漢語拼音,多音參見訊息
101500423,大人大量,ㄉㄚˋ　ㄖㄣˊ　ㄉㄚˋ　ㄌㄧㄤˋ,dà rén dà liàng,
101500424,大人物,ㄉㄚˋ　ㄖㄣˊ　ㄨˋ,dà rén wù,
101500425,大仁,ㄉㄚˋ　ㄖㄣˊ,dà rén,
101500426,大嚷大叫,ㄉㄚˋ　ㄖㄤˇ　ㄉㄚˋ　ㄐㄧㄠˋ,dà rǎng dà jiào,
101500427,大儒,ㄉㄚˋ　ㄖㄨˊ,dà rú,
1015004271,大姊,ㄉㄚˋ　ㄐㄧㄝˇ,dà jiě,
101500428,大字,ㄉㄚˋ　ㄗˋ,dà zì,
101500429,大字報,ㄉㄚˋ　ㄗˋ　ㄅㄠˋ,dà zì bào,
101500430,大自然,ㄉㄚˋ　ㄗˋ　ㄖㄢˊ,dà zì rán,
101500431,大雜燴,ㄉㄚˋ　ㄗㄚˊ　ㄏㄨㄟˋ,dà zá huì,
101500432,大雜院,ㄉㄚˋ　ㄗㄚˊ　ㄩㄢˋ,dà zá yuàn,
101500433,大災難,ㄉㄚˋ　ㄗㄞ　ㄋㄢˋ,dà zāi nàn,
101500434,大作,ㄉㄚˋ　ㄗㄨㄛˋ,dà zuò,
101500435,大作家,ㄉㄚˋ　ㄗㄨㄛˋ　ㄐㄧㄚ,dà zuò jiā,
101500436,大嘴巴,ㄉㄚˋ　ㄗㄨㄟˇ　ㄅㄚ　（變）ㄉㄚˋ　ㄗㄨㄟˇ　˙ㄅㄚ,dà zuǐ bā （變）dà zuǐ ba,
101500437,大宗,ㄉㄚˋ　ㄗㄨㄥ,dà zōng,
101500438,大材小用,ㄉㄚˋ　ㄘㄞˊ　ㄒㄧㄠˇ　ㄩㄥˋ,dà cái xiǎo yòng,
101500439,大菜,ㄉㄚˋ　ㄘㄞˋ,dà cài,
101500440,大餐,ㄉㄚˋ　ㄘㄢ,dà cān,
101500441,大錯特錯,ㄉㄚˋ　ㄘㄨㄛˋ　ㄊㄜˋ　ㄘㄨㄛˋ,dà cuò tè cuò,
1015004411,大肆,ㄉㄚˋ　ㄙˋ,dà sì,
101500442,大肆抨擊,ㄉㄚˋ　ㄙˋ　ㄆㄥ　ㄐㄧˊ,dà sì pēng jí,
101500443,大掃除,ㄉㄚˋ　ㄙㄠˇ　ㄔㄨˊ,dà sǎo chú,
101500444,大嫂,ㄉㄚˋ　ㄙㄠˇ,dà sǎo,
101500445,大嗓門,ㄉㄚˋ　ㄙㄤˇ　ㄇㄣˊ,dà sǎng mén,
101500446,大俗賣,ㄉㄚˋ　ㄙㄨˊ　ㄇㄞˋ,dà sú mài,
101500447,大蒜,ㄉㄚˋ　ㄙㄨㄢˋ,dà suàn,
101500449,大額,ㄉㄚˋ　ㄜˊ,dà é,
101500450,大愛,ㄉㄚˋ　ㄞˋ,dà ài,
101500451,大礙,ㄉㄚˋ　ㄞˋ,dà ài,
101500452,大安,ㄉㄚˋ　ㄢ,dà ān,
101500453,大而化之,ㄉㄚˋ　ㄦˊ　ㄏㄨㄚˋ　ㄓ,dà ér huà zhī,
1015004531,大而無當,ㄉㄚˋ　ㄦˊ　ㄨˊ　ㄉㄤˋ,dà ér wú dàng,
101500454,大耳朵,ㄉㄚˋ　ㄦˇ　ㄉㄨㄛˇ　（變）ㄉㄚˋ　ㄦˇ　˙ㄉㄨㄛ,dà ěr duǒ （變）dà ěr duo,
101500455,大衣,ㄉㄚˋ　ㄧ,dà yī,
101500457,大異其趣,ㄉㄚˋ　ㄧˋ　ㄑㄧˊ　ㄑㄩˋ,dà yì qí qù,
101500458,大意,ㄉㄚˋ　ㄧˋ,dà yì,
101500459,大義,ㄉㄚˋ　ㄧˋ,dà yì,
101500460,大義滅親,ㄉㄚˋ　ㄧˋ　ㄇㄧㄝˋ　ㄑㄧㄣ,dà yì miè qīn,
1015004601,大義凜然,ㄉㄚˋ　ㄧˋ　ㄌㄧㄣˇ　ㄖㄢˊ,dà yì lǐn rán,
101500461,大牙,ㄉㄚˋ　ㄧㄚˊ,dà yá,
101500462,大爺,ㄉㄚˋ　ㄧㄝˊ,dà yé,
101500463,大夜班,ㄉㄚˋ　ㄧㄝˋ　ㄅㄢ,dà yè bān,
101500464,大業,ㄉㄚˋ　ㄧㄝˋ,dà yè,
101500465,大搖大擺,ㄉㄚˋ　ㄧㄠˊ　ㄉㄚˋ　ㄅㄞˇ,dà yáo dà bǎi,
1015004651,大要,ㄉㄚˋ　ㄧㄠˋ,dà yào,
101500466,大有,ㄉㄚˋ　ㄧㄡˇ,dà yǒu,
101500467,大有來頭,ㄉㄚˋ　ㄧㄡˇ　ㄌㄞˊ　˙ㄊㄡ,dà yǒu lái tou,
1015004671,大有可觀,ㄉㄚˋ　ㄧㄡˇ　ㄎㄜˇ　ㄍㄨㄢ,dà yǒu kě guān,
101500468,大有可為,ㄉㄚˋ　ㄧㄡˇ　ㄎㄜˇ　ㄨㄟˊ,dà yǒu kě wéi,
101500469,大有斬獲,ㄉㄚˋ　ㄧㄡˇ　ㄓㄢˇ　ㄏㄨㄛˋ,dà yǒu zhǎn huò,
101500470,大有助益,ㄉㄚˋ　ㄧㄡˇ　ㄓㄨˋ　ㄧˋ,dà yǒu zhù yì,
101500471,大有人在,ㄉㄚˋ　ㄧㄡˇ　ㄖㄣˊ　ㄗㄞˋ,dà yǒu rén zài,
101500472,大有為,ㄉㄚˋ　ㄧㄡˇ　ㄨㄟˊ,dà yǒu wéi,
101500473,大言不慚,ㄉㄚˋ　ㄧㄢˊ　ㄅㄨˋ　ㄘㄢˊ,dà yán bù cán,
101500474,大眼瞪小眼,ㄉㄚˋ　ㄧㄢˇ　ㄉㄥˋ　ㄒㄧㄠˇ　ㄧㄢˇ,dà yǎn dèng xiǎo yǎn,
101500475,大宴小酌,ㄉㄚˋ　ㄧㄢˋ　ㄒㄧㄠˇ　ㄓㄨㄛˊ,dà yàn xiǎo zhuó,
101500476,大銀幕,ㄉㄚˋ　ㄧㄣˊ　ㄇㄨˋ,dà yín mù,
101500477,大洋,ㄉㄚˋ　ㄧㄤˊ,dà yáng,
101500478,大樣,ㄉㄚˋ　ㄧㄤˋ,dà yàng,
101500479,大贏家,ㄉㄚˋ　ㄧㄥˊ　ㄐㄧㄚ,dà yíng jiā,
101500480,大無畏,ㄉㄚˋ　ㄨˊ　ㄨㄟˋ,dà wú wèi,
101500482,大我,ㄉㄚˋ　ㄨㄛˇ,dà wǒ,
101500485,大玩偶,ㄉㄚˋ　ㄨㄢˊ　ㄡˇ,dà wán ǒu,
101500486,大碗公,ㄉㄚˋ　ㄨㄢˇ　ㄍㄨㄥ,dà wǎn gōng,
101500488,大王,ㄉㄚˋ　ㄨㄤˊ,dà wáng,
101500490,大魚大肉,ㄉㄚˋ　ㄩˊ　ㄉㄚˋ　ㄖㄡˋ,dà yú dà ròu,
101500491,大雨傾盆,ㄉㄚˋ　ㄩˇ　ㄑㄧㄥ　ㄆㄣˊ,dà yǔ qīng pén,
101500493,大約,ㄉㄚˋ　ㄩㄝ,dà yuē,
101500494,大月,ㄉㄚˋ　ㄩㄝˋ,dà yuè,
101500495,大躍進,ㄉㄚˋ　ㄩㄝˋ　ㄐㄧㄣˋ,dà yuè jìn,
1015004951,大宛,ㄉㄚˋ　ㄩㄢ,dà yuān,
101500496,大原則,ㄉㄚˋ　ㄩㄢˊ　ㄗㄜˊ,dà yuán zé,
101500497,大勇,ㄉㄚˋ　ㄩㄥˇ,dà yǒng,
1016,得,(一)ㄉㄜˊ,(一)dé,(二)ㄉㄟˇ　　děi（1043）<br>(三)˙ㄉㄜ　　de（1021）<br>
101600001,得標,ㄉㄜˊ　ㄅㄧㄠ,dé biāo,
101600002,得病,ㄉㄜˊ　ㄅㄧㄥˋ,dé bìng,
101600003,得不償失,ㄉㄜˊ　ㄅㄨˋ　ㄔㄤˊ　ㄕ,dé bù cháng shī,
101600004,得票,ㄉㄜˊ　ㄆㄧㄠˋ,dé piào,
101600005,得票率,ㄉㄜˊ　ㄆㄧㄠˋ　ㄌㄩˋ,dé piào lǜ,
101600006,得名,ㄉㄜˊ　ㄇㄧㄥˊ,dé míng,
101600007,得法,ㄉㄜˊ　ㄈㄚˇ,dé fǎ,
101600008,得分,ㄉㄜˊ　ㄈㄣ,dé fēn,
101600010,得道,ㄉㄜˊ　ㄉㄠˋ,dé dào,
101600011,得道成仙,ㄉㄜˊ　ㄉㄠˋ　ㄔㄥˊ　ㄒㄧㄢ,dé dào chéng xiān,
101600012,得當,ㄉㄜˊ　ㄉㄤˋ,dé dàng,
101600013,得體,ㄉㄜˊ　ㄊㄧˇ,dé tǐ,
101600014,得天獨厚,ㄉㄜˊ　ㄊㄧㄢ　ㄉㄨˊ　ㄏㄡˋ,dé tiān dú hòu,
101600015,得了,(一)ㄉㄜˊ　˙ㄌㄜ,(一)dé le,(二)ㄉㄜˊ　ㄌㄧㄠˇ　　dé　liǎo（1016000181）<br>
101600016,得來不易,ㄉㄜˊ　ㄌㄞˊ　ㄅㄨˋ　ㄧˋ　（變）ㄉㄜˊ　ㄌㄞˊ　ㄅㄨˊ　ㄧˋ,dé lái bù yì　（變）dé lái bú yì,
101600017,得力,ㄉㄜˊ　ㄌㄧˋ,dé lì,
101600018,得利,ㄉㄜˊ　ㄌㄧˋ,dé lì,
1016000181,得了,(二)ㄉㄜˊ　ㄌㄧㄠˇ,(二)dé liǎo,(一)ㄉㄜˊ　˙ㄌㄜ　　dé　le（101600015）<br>
1016000182,得隴望蜀,ㄉㄜˊ　ㄌㄨㄥˇ　ㄨㄤˋ　ㄕㄨˇ,dé lǒng wàng shǔ,
101600019,得過且過,ㄉㄜˊ　ㄍㄨㄛˋ　ㄑㄧㄝˇ　ㄍㄨㄛˋ,dé guò qiě guò,
101600020,得救,ㄉㄜˊ　ㄐㄧㄡˋ,dé jiù,
101600021,得獎,ㄉㄜˊ　ㄐㄧㄤˇ,dé jiǎng,
101600022,得悉,ㄉㄜˊ　ㄒㄧ,dé xī,
101600023,得心應手,ㄉㄜˊ　ㄒㄧㄣ　ㄧㄥˋ　ㄕㄡˇ,dé xīn yìng shǒu,
101600024,得知,ㄉㄜˊ　ㄓ,dé zhī,
101600025,得志,ㄉㄜˊ　ㄓˋ,dé zhì,
101600026,得逞,ㄉㄜˊ　ㄔㄥˇ,dé chěng,
101600028,得寵,ㄉㄜˊ　ㄔㄨㄥˇ,dé chǒng,
101600029,得失,ㄉㄜˊ　ㄕ,dé shī,
101600030,得勢,ㄉㄜˊ　ㄕˋ,dé shì,
101600031,得手,ㄉㄜˊ　ㄕㄡˇ,dé shǒu,
101600032,得勝,ㄉㄜˊ　ㄕㄥˋ,dé shèng,
101600034,得罪,ㄉㄜˊ　ㄗㄨㄟˋ,dé zuì,
101600035,得寸進尺,ㄉㄜˊ　ㄘㄨㄣˋ　ㄐㄧㄣˋ　ㄔˇ,dé cùn jìn chǐ,
101600036,得宜,ㄉㄜˊ　ㄧˊ,dé yí,
101600037,得意,ㄉㄜˊ　ㄧˋ,dé yì,
101600038,得意洋洋,ㄉㄜˊ　ㄧˋ　ㄧㄤˊ　ㄧㄤˊ,dé yì yáng yáng,
1016000381,得意揚揚,ㄉㄜˊ　ㄧˋ　ㄧㄤˊ　ㄧㄤˊ,dé yì yáng yáng,
101600039,得意忘形,ㄉㄜˊ　ㄧˋ　ㄨㄤˋ　ㄒㄧㄥˊ,dé yì wàng xíng,
101600040,得魚忘筌,ㄉㄜˊ　ㄩˊ　ㄨㄤˋ　ㄑㄩㄢˊ,dé yú wàng quán,
1017,德,ㄉㄜˊ,dé,
101700001,德目,ㄉㄜˊ　ㄇㄨˋ,dé mù,
101700002,德高望重,ㄉㄜˊ　ㄍㄠ　ㄨㄤˋ　ㄓㄨㄥˋ,dé gāo wàng zhòng,
101700003,德國麻疹,ㄉㄜˊ　ㄍㄨㄛˊ　ㄇㄚˊ　ㄓㄣˇ,dé guó má zhěn,
101700005,德先生,ㄉㄜˊ　ㄒㄧㄢ　ㄕㄥ,dé xiān shēng,
101700006,德性,ㄉㄜˊ　ㄒㄧㄥˋ,dé xìng,
101700008,德政,ㄉㄜˊ　ㄓㄥˋ,dé zhèng,
101700009,德澤,ㄉㄜˊ　ㄗㄜˊ,dé zé,
101700010,德才兼備,ㄉㄜˊ　ㄘㄞˊ　ㄐㄧㄢ　ㄅㄟˋ,dé cái jiān bèi,
101700011,德文,ㄉㄜˊ　ㄨㄣˊ,dé wén,
101700012,德語,ㄉㄜˊ　ㄩˇ,dé yǔ,
101700013,德育,ㄉㄜˊ　ㄩˋ,dé yù,
1018,地,(二)˙ㄉㄜ,(二)de,(一)ㄉㄧˋ　　dì（1147）<br>
1019,底,(二)˙ㄉㄜ,(二)de,(一)ㄉㄧˇ　　dǐ（1140）<br>
1020,的,(三)˙ㄉㄜ,(三)de,(一)ㄉㄧˋ　　dì（1152）<br>(二)ㄉㄧˊ　　dí（1131）<br>
1021,得,(三)˙ㄉㄜ,(三)de,(一)ㄉㄜˊ　　dé（1016）<br>(二)ㄉㄟˇ　　děi（1043）<br>
1022,呆,ㄉㄞ,dāi,
102200002,呆板,ㄉㄞ　ㄅㄢˇ,dāi bǎn,
102200003,呆頭呆腦,ㄉㄞ　ㄊㄡˊ　ㄉㄞ　ㄋㄠˇ,dāi tóu dāi nǎo,
102200004,呆瓜,ㄉㄞ　ㄍㄨㄚ,dāi guā,
102200005,呆滯,ㄉㄞ　ㄓˋ,dāi zhì,
102200006,呆帳,ㄉㄞ　ㄓㄤˋ,dāi zhàng,
102200007,呆住,ㄉㄞ　ㄓㄨˋ,dāi zhù,
102200008,呆水位,ㄉㄞ　ㄕㄨㄟˇ　ㄨㄟˋ,dāi shuǐ wèi,
102200009,呆若木雞,ㄉㄞ　ㄖㄨㄛˋ　ㄇㄨˋ　ㄐㄧ,dāi ruò mù jī,
102200010,呆子,ㄉㄞ　˙ㄗ,dāi zi,
1023,待,(二)ㄉㄞ,(二)dāi,(一)ㄉㄞˋ　　dài（1039）<br>
1024,獃,ㄉㄞ,dāi,
102400001,獃滯,ㄉㄞ　ㄓˋ,dāi zhì,
1025,歹,ㄉㄞˇ,dǎi,
102500001,歹命,ㄉㄞˇ　ㄇㄧㄥˋ,dǎi mìng,
1025000011,歹毒,ㄉㄞˇ　ㄉㄨˊ,dǎi dú,
102500002,歹徒,ㄉㄞˇ　ㄊㄨˊ,dǎi tú,
102500003,歹路,ㄉㄞˇ　ㄌㄨˋ,dǎi lù,
102500004,歹路不可行,ㄉㄞˇ　ㄌㄨˋ　ㄅㄨˋ　ㄎㄜˇ　ㄒㄧㄥˊ,dǎi lù bù kě xíng,
102500005,歹戲拖棚,ㄉㄞˇ　ㄒㄧˋ　ㄊㄨㄛ　ㄆㄥˊ,dǎi xì tuō péng,
102500006,歹竹出好筍,ㄉㄞˇ　ㄓㄨˊ　ㄔㄨ　ㄏㄠˇ　ㄙㄨㄣˇ,dǎi zhú chū hǎo sǔn,
102500007,歹勢,ㄉㄞˇ　ㄕˋ,dǎi shì,
1026,逮,(二)ㄉㄞˇ,(二)dǎi,(一)ㄉㄞˋ　　dài（1041）<br>
102600001,逮捕,ㄉㄞˇ　ㄅㄨˇ,dǎi bǔ,
1027,大,(二)ㄉㄞˋ,(二)dài,(一)ㄉㄚˋ　　dà（1015）<br>
102700001,大夫,ㄉㄞˋ　ㄈㄨ　(變)ㄉㄞˋ　˙ㄈㄨ,dài fū （變）dài fu,
1028,代,ㄉㄞˋ,dài,
102800001,代班,ㄉㄞˋ　ㄅㄢ,dài bān,
102800002,代辦,ㄉㄞˋ　ㄅㄢˋ,dài bàn,
1028000021,代筆,ㄉㄞˋ　ㄅㄧˇ,dài bǐ,
102800003,代表,ㄉㄞˋ　ㄅㄧㄠˇ,dài biǎo,
102800004,代表作,ㄉㄞˋ　ㄅㄧㄠˇ　ㄗㄨㄛˋ,dài biǎo zuò,
102800006,代步,ㄉㄞˋ　ㄅㄨˋ,dài bù,
102800007,代碼,ㄉㄞˋ　ㄇㄚˇ,dài mǎ,
102800008,代名詞,ㄉㄞˋ　ㄇㄧㄥˊ　ㄘˊ,dài míng cí,
1028000081,代母,ㄉㄞˋ　ㄇㄨˇ,dài mǔ,
102800009,代打,ㄉㄞˋ　ㄉㄚˇ,dài dǎ,
102800010,代代相傳,ㄉㄞˋ　ㄉㄞˋ　ㄒㄧㄤ　ㄔㄨㄢˊ,dài dài xiāng chuán,
102800011,代墊,ㄉㄞˋ　ㄉㄧㄢˋ,dài diàn,
102800012,代糖,ㄉㄞˋ　ㄊㄤˊ,dài táng,
102800013,代替,ㄉㄞˋ　ㄊㄧˋ,dài tì,
102800014,代替品,ㄉㄞˋ　ㄊㄧˋ　ㄆㄧㄣˇ,dài tì pǐn,
102800016,代勞,ㄉㄞˋ　ㄌㄠˊ,dài láo,
102800017,代理,ㄉㄞˋ　ㄌㄧˇ,dài lǐ,
102800018,代理商,ㄉㄞˋ　ㄌㄧˇ　ㄕㄤ,dài lǐ shāng,
102800019,代理人,ㄉㄞˋ　ㄌㄧˇ　ㄖㄣˊ,dài lǐ rén,
102800020,代領,ㄉㄞˋ　ㄌㄧㄥˇ,dài lǐng,
102800021,代溝,ㄉㄞˋ　ㄍㄡ,dài gōu,
102800022,代耕,ㄉㄞˋ　ㄍㄥ,dài gēng,
102800023,代管,ㄉㄞˋ　ㄍㄨㄢˇ,dài guǎn,
102800024,代工,ㄉㄞˋ　ㄍㄨㄥ,dài gōng,
102800025,代課,ㄉㄞˋ　ㄎㄜˋ,dài kè,
102800028,代號,ㄉㄞˋ　ㄏㄠˋ,dài hào,
102800029,代價,ㄉㄞˋ　ㄐㄧㄚˋ,dài jià,
102800030,代金,ㄉㄞˋ　ㄐㄧㄣ,dài jīn,
102800031,代謝,ㄉㄞˋ　ㄒㄧㄝˋ,dài xiè,
102800032,代銷,ㄉㄞˋ　ㄒㄧㄠ,dài xiāo,
102800036,代唱,ㄉㄞˋ　ㄔㄤˋ,dài chàng,
102800038,代書,ㄉㄞˋ　ㄕㄨ,dài shū,
102800039,代數,ㄉㄞˋ　ㄕㄨˋ,dài shù,
102800040,代議制,ㄉㄞˋ　ㄧˋ　ㄓˋ,dài yì zhì,
102800041,代議士,ㄉㄞˋ　ㄧˋ　ㄕˋ,dài yì shì,
102800042,代言,ㄉㄞˋ　ㄧㄢˊ,dài yán,
102800043,代言人,ㄉㄞˋ　ㄧㄢˊ　ㄖㄣˊ,dài yán rén,
1029,岱,ㄉㄞˋ,dài,
1030,玳,ㄉㄞˋ,dài,
103000001,玳瑁,ㄉㄞˋ　ㄇㄟˋ,dài mèi,
1031,袋,ㄉㄞˋ,dài,
103100001,袋鼠,ㄉㄞˋ　ㄕㄨˇ,dài shǔ,
103100002,袋子,ㄉㄞˋ　˙ㄗ,dài zi,
1032,貸,ㄉㄞˋ,dài,
103200001,貸款,ㄉㄞˋ　ㄎㄨㄢˇ,dài kuǎn,
103200002,貸借,ㄉㄞˋ　ㄐㄧㄝˋ,dài jiè,
1033,黛,ㄉㄞˋ,dài,
103300001,黛綠年華,ㄉㄞˋ　ㄌㄩˋ　ㄋㄧㄢˊ　ㄏㄨㄚˊ,dài lǜ nián huá,
1034,殆,ㄉㄞˋ,dài,
103400001,殆盡,ㄉㄞˋ　ㄐㄧㄣˋ,dài jìn,
1035,迨,ㄉㄞˋ,dài,
1036,怠,ㄉㄞˋ,dài,
103600000,怠慢,ㄉㄞˋ　ㄇㄢˋ,dài màn,
1036000001,怠惰,ㄉㄞˋ　ㄉㄨㄛˋ,dài duò,
103600001,怠工,ㄉㄞˋ　ㄍㄨㄥ,dài gōng,
103600002,怠忽,ㄉㄞˋ　ㄏㄨ,dài hū,
103600003,怠忽職守,ㄉㄞˋ　ㄏㄨ　ㄓˊ　ㄕㄡˇ,dài hū zhí shǒu,
103600004,怠駛,ㄉㄞˋ　ㄕˇ,dài shǐ,
1037,紿,ㄉㄞˋ,dài,
1038,駘,(二)ㄉㄞˋ,(二)dài,(一)ㄊㄞˊ　　tái（1347）<br>
103800001,駘蕩,ㄉㄞˋ　ㄉㄤˋ,dài dàng,
1039,待,(一)ㄉㄞˋ,(一)dài,(二)ㄉㄞ　　dāi（1023）<br>
103900001,待命,ㄉㄞˋ　ㄇㄧㄥˋ,dài mìng,
103900002,待客,ㄉㄞˋ　ㄎㄜˋ,dài kè,
103900003,待機而動,ㄉㄞˋ　ㄐㄧ　ㄦˊ　ㄉㄨㄥˋ,dài jī ér dòng,
103900004,待價而沽,ㄉㄞˋ　ㄐㄧㄚˋ　ㄦˊ　ㄍㄨ,dài jià ér gū,
103900006,待查,ㄉㄞˋ　ㄔㄚˊ,dài chá,
103900007,待產,ㄉㄞˋ　ㄔㄢˇ,dài chǎn,
103900008,待售,ㄉㄞˋ　ㄕㄡˋ,dài shòu,
103900009,待人接物,ㄉㄞˋ　ㄖㄣˊ　ㄐㄧㄝ　ㄨˋ,dài rén jiē wù,
1039000091,待人處世,ㄉㄞˋ　ㄖㄣˊ　ㄔㄨˇ　ㄕˋ,dài rén chǔ shì,
103900010,待人處事,ㄉㄞˋ　ㄖㄣˊ　ㄔㄨˇ　ㄕˋ,dài rén chǔ shì,
1039000101,待字閨中,ㄉㄞˋ　ㄗˋ　ㄍㄨㄟ　ㄓㄨㄥ,dài zì guī zhōng,
103900011,待遇,ㄉㄞˋ　ㄩˋ,dài yù,
1040,帶,ㄉㄞˋ,dài,
104000002,帶兵,ㄉㄞˋ　ㄅㄧㄥ,dài bīng,
104000004,帶分數,ㄉㄞˋ　ㄈㄣ　ㄕㄨˋ,dài fēn shù,
104000005,帶動,ㄉㄞˋ　ㄉㄨㄥˋ,dài dòng,
104000006,帶動唱,ㄉㄞˋ　ㄉㄨㄥˋ　ㄔㄤˋ,dài dòng chàng,
104000007,帶頭,ㄉㄞˋ　ㄊㄡˊ,dài tóu,
104000009,帶領,ㄉㄞˋ　ㄌㄧㄥˇ,dài lǐng,
104000010,帶路,ㄉㄞˋ　ㄌㄨˋ,dài lù,
104000011,帶勁,ㄉㄞˋ　ㄐㄧㄥˋ,dài jìng,
104000012,帶菌,ㄉㄞˋ　ㄐㄩㄣˋ,dài jùn,
104000013,帶球跑,ㄉㄞˋ　ㄑㄧㄡˊ　ㄆㄠˇ,dài qiú pǎo,
104000014,帶球撞人,ㄉㄞˋ　ㄑㄧㄡˊ　ㄓㄨㄤˋ　ㄖㄣˊ,dài qiú zhuàng rén,
104000016,帶孝,ㄉㄞˋ　ㄒㄧㄠˋ,dài xiào,
104000017,帶狀,ㄉㄞˋ　ㄓㄨㄤˋ,dài zhuàng,
104000018,帶狀疱疹,ㄉㄞˋ　ㄓㄨㄤˋ　ㄆㄠˋ　ㄓㄣˇ,dài zhuàng pào zhěn,
104000021,帶子,ㄉㄞˋ　˙ㄗ,dài zi,
104000023,帶原者,ㄉㄞˋ　ㄩㄢˊ　ㄓㄜˇ,dài yuán zhě,
1041,逮,(一)ㄉㄞˋ,(一)dài,(二)ㄉㄞˇ　　dǎi（1026）<br>
1042,戴,ㄉㄞˋ,dài,
104200001,戴高帽,ㄉㄞˋ　ㄍㄠ　ㄇㄠˋ,dài gāo mào,
104200002,戴孝,ㄉㄞˋ　ㄒㄧㄠˋ,dài xiào,
1042000021,戴罪立功,ㄉㄞˋ　ㄗㄨㄟˋ　ㄌㄧˋ　ㄍㄨㄥ,dài zuì lì gōng,
104200003,戴奧辛,ㄉㄞˋ　ㄠˋ　ㄒㄧㄣ,dài ào xīn,
1043,得,(二)ㄉㄟˇ,(二)děi,(一)ㄉㄜˊ　　dé（1016）<br>(三)˙ㄉㄜ　　de（1021）<br>
1044,刀,ㄉㄠ,dāo,
104400001,刀疤,ㄉㄠ　ㄅㄚ,dāo bā,
104400002,刀背,ㄉㄠ　ㄅㄟˋ,dāo bèi,
1044000021,刀筆,ㄉㄠ　ㄅㄧˇ,dāo bǐ,
104400003,刀柄,ㄉㄠ　ㄅㄧㄥˇ,dāo bǐng,
104400004,刀片,ㄉㄠ　ㄆㄧㄢˋ,dāo piàn,
104400005,刀法,ㄉㄠ　ㄈㄚˇ,dāo fǎ,
104400006,刀鋒,ㄉㄠ　ㄈㄥ,dāo fēng,
104400008,刀光劍影,ㄉㄠ　ㄍㄨㄤ　ㄐㄧㄢˋ　ㄧㄥˇ,dāo guāng jiàn yǐng,
104400009,刀口,ㄉㄠ　ㄎㄡˇ,dāo kǒu,
104400010,刀痕,ㄉㄠ　ㄏㄣˊ,dāo hén,
104400011,刀劍無情,ㄉㄠ　ㄐㄧㄢˋ　ㄨˊ　ㄑㄧㄥˊ,dāo jiàn wú qíng,
104400012,刀槍不入,ㄉㄠ　ㄑㄧㄤ　ㄅㄨˋ　ㄖㄨˋ　（變）ㄉㄠ　ㄑㄧㄤ　ㄅㄨˊ　ㄖㄨˋ,dāo qiāng bù rù　（變）dāo qiāng bú rù,
104400013,刀械,ㄉㄠ　ㄒㄧㄝˋ,dāo xiè,
104400014,刀削冰,ㄉㄠ　ㄒㄧㄠ　ㄅㄧㄥ,dāo xiāo bīng,
104400015,刀削麵,ㄉㄠ　ㄒㄧㄠ　ㄇㄧㄢˋ,dāo xiāo miàn,
104400016,刀叉,ㄉㄠ　ㄔㄚ,dāo chā,
104400017,刀傷,ㄉㄠ　ㄕㄤ,dāo shāng,
104400018,刀刃,ㄉㄠ　ㄖㄣˋ,dāo rèn,
104400019,刀子,ㄉㄠ　˙ㄗ,dāo zi,
1045,叨,(一)ㄉㄠ,(一)dāo,(二)ㄊㄠ　　tāo（1356）<br>
104500001,叨叨絮絮,ㄉㄠ　ㄉㄠ　ㄒㄩˋ　ㄒㄩˋ,dāo dāo xù xù,
1046,倒,(一)ㄉㄠˇ,(一)dǎo,(二)ㄉㄠˋ　　dào（1053）<br>
104600001,倒閉,ㄉㄠˇ　ㄅㄧˋ,dǎo bì,
1046000011,倒斃,ㄉㄠˇ　ㄅㄧˋ,dǎo bì,
104600002,倒楣,ㄉㄠˇ　ㄇㄟˊ,dǎo méi,
104600003,倒楣相,ㄉㄠˇ　ㄇㄟˊ　ㄒㄧㄤˋ,dǎo méi xiàng,
104600004,倒霉,ㄉㄠˇ　ㄇㄟˊ,dǎo méi,
104600005,倒店,ㄉㄠˇ　ㄉㄧㄢˋ,dǎo diàn,
104600006,倒塌,ㄉㄠˇ　ㄊㄚ,dǎo tā,
104600007,倒頭就睡,ㄉㄠˇ　ㄊㄡˊ　ㄐㄧㄡˋ　ㄕㄨㄟˋ,dǎo tóu jiù shuì,
1046000071,倒坍,ㄉㄠˇ　ㄊㄢ,dǎo tān,
104600008,倒戈,ㄉㄠˇ　ㄍㄜ,dǎo gē,
104600009,倒閣,ㄉㄠˇ　ㄍㄜˊ,dǎo gé,
104600010,倒會,ㄉㄠˇ　ㄏㄨㄟˋ,dǎo huì,
104600011,倒債,ㄉㄠˇ　ㄓㄞˋ,dǎo zhài,
104600012,倒帳,ㄉㄠˇ　ㄓㄤˋ,dǎo zhàng,
104600013,倒嗓,ㄉㄠˇ　ㄙㄤˇ,dǎo sǎng,
104600014,倒胃,ㄉㄠˇ　ㄨㄟˋ,dǎo wèi,
1046000141,倒胃口,ㄉㄠˇ　ㄨㄟˋ　ㄎㄡˇ,dǎo wèi kǒu,
104600015,倒運,ㄉㄠˇ　ㄩㄣˋ,dǎo yùn,
1047,島,ㄉㄠˇ,dǎo,
104700001,島民,ㄉㄠˇ　ㄇㄧㄣˊ,dǎo mín,
104700002,島國,ㄉㄠˇ　ㄍㄨㄛˊ,dǎo guó,
104700003,島嶼,ㄉㄠˇ　ㄩˇ,dǎo yǔ,
1048,搗,ㄉㄠˇ,dǎo,
