字詞號,字詞名,注音一式,漢語拼音,多音參見訊息
066000008,門房,ㄇㄣˊ　ㄈㄤˊ,mén fáng,
066000005,門票,ㄇㄣˊ　ㄆㄧㄠˋ,mén piào,
066000004,門派,ㄇㄣˊ　ㄆㄞˋ,mén pài,
066000002,門牌,ㄇㄣˊ　ㄆㄞˊ,mén pái,
0660,門,ㄇㄣˊ,mén,
065900003,悶熱,ㄇㄣ　ㄖㄜˋ,mēn rè,
065900002,悶氣,(二)ㄇㄣ　ㄑㄧˋ,(二)mēn qì,(一)ㄇㄣˋ　ㄑㄧˋ　　mèn　qì（066300003）<br>
0658,鏝,ㄇㄢˋ,màn,
0659,悶,(二)ㄇㄣ,(二)mēn,(一)ㄇㄣˋ　　mèn（0663）<br>
065700001,謾罵,ㄇㄢˋ　ㄇㄚˋ,màn mà,
0656,縵,ㄇㄢˋ,màn,
0657,謾,(二)ㄇㄢˋ,(二)màn,(一)ㄇㄢˊ　　mán（0642）<br>
065500003,蔓延,ㄇㄢˋ　ㄧㄢˊ,màn yán,
065500002,蔓生,ㄇㄢˋ　ㄕㄥ,màn shēng,
065500001,蔓藤,ㄇㄢˋ　ㄊㄥˊ,màn téng,
0655,蔓,(一)ㄇㄢˋ,(一)màn,(二)ㄇㄢˊ　　mán（0641）<br>
0654,嫚,ㄇㄢˋ,màn,
0653,幔,ㄇㄢˋ,màn,
065200014,慢用,ㄇㄢˋ　ㄩㄥˋ,màn yòng,
065200013,慢速,ㄇㄢˋ　ㄙㄨˋ,màn sù,
065200012,慢走,ㄇㄢˋ　ㄗㄡˇ,màn zǒu,
065200011,慢車道,ㄇㄢˋ　ㄔㄜ　ㄉㄠˋ,màn chē dào,
065200010,慢車,ㄇㄢˋ　ㄔㄜ,màn chē,
065200008,慢火,ㄇㄢˋ　ㄏㄨㄛˇ,màn huǒ,
065200009,慢性病,ㄇㄢˋ　ㄒㄧㄥˋ　ㄅㄧㄥˋ,màn xìng bìng,
065200007,慢工出細活,ㄇㄢˋ　ㄍㄨㄥ　ㄔㄨ　ㄒㄧˋ　ㄏㄨㄛˊ,màn gōng chū xì huó,
065200006,慢吞吞,ㄇㄢˋ　ㄊㄨㄣ　ㄊㄨㄣ,màn tūn tūn,
065200005,慢條斯理,ㄇㄢˋ　ㄊㄧㄠˊ　ㄙ　ㄌㄧˇ,màn tiáo sī lǐ,
0652000041,慢動作,ㄇㄢˋ　ㄉㄨㄥˋ　ㄗㄨㄛˋ,màn dòng zuò,
065200004,慢點兒,ㄇㄢˋ　ㄉㄧㄢˇㄦ　（變）ㄇㄢˋ　ㄉㄧㄚˇㄦ,màn diǎnr　（變）màn diǎr,
065200002,慢跑,ㄇㄢˋ　ㄆㄠˇ,màn pǎo,
065200003,慢慢,ㄇㄢˋ　ㄇㄢˋ,màn màn,
065200001,慢步,ㄇㄢˋ　ㄅㄨˋ,màn bù,
0652,慢,ㄇㄢˋ,màn,
065100012,漫無止境,ㄇㄢˋ　ㄨˊ　ㄓˇ　ㄐㄧㄥˋ,màn wú zhǐ jìng,
065100011,漫無目的,ㄇㄢˋ　ㄨˊ　ㄇㄨˋ　ㄉㄧˋ,màn wú mù dì,
0651000101,漫無邊際,ㄇㄢˋ　ㄨˊ　ㄅㄧㄢ　ㄐㄧˋ,màn wú biān jì,
065100009,漫遊,ㄇㄢˋ　ㄧㄡˊ,màn yóu,
065100008,漫山遍野,ㄇㄢˋ　ㄕㄢ　ㄅㄧㄢˋ　ㄧㄝˇ,màn shān biàn yě,
065100007,漫長,ㄇㄢˋ　ㄔㄤˊ,màn cháng,
0651000061,漫漶,ㄇㄢˋ　ㄏㄨㄢˋ,màn huàn,
065100005,漫天,ㄇㄢˋ　ㄊㄧㄢ,màn tiān,
065100006,漫畫,ㄇㄢˋ　ㄏㄨㄚˋ,màn huà,
065100004,漫談,ㄇㄢˋ　ㄊㄢˊ,màn tán,
065100003,漫漫,ㄇㄢˋ　ㄇㄢˋ,màn màn,
065100002,漫步,ㄇㄢˋ　ㄅㄨˋ,màn bù,
065100001,漫不經心,ㄇㄢˋ　ㄅㄨˋ　ㄐㄧㄥ　ㄒㄧㄣ,màn bù jīng xīn,
0651,漫,ㄇㄢˋ,màn,
065000002,曼陀林,ㄇㄢˋ　ㄊㄨㄛˊ　ㄌㄧㄣˊ,màn tuó lín,
065000001,曼妙,ㄇㄢˋ　ㄇㄧㄠˋ,màn miào,
0650,曼,ㄇㄢˋ,màn,
064900034,滿月,ㄇㄢˇ　ㄩㄝˋ,mǎn yuè,
064900033,滿眼,ㄇㄢˇ　ㄧㄢˇ,mǎn yǎn,
064900031,滿溢,ㄇㄢˇ　ㄧˋ,mǎn yì,
064900032,滿意,ㄇㄢˇ　ㄧˋ,mǎn yì,
064900030,滿額,ㄇㄢˇ　ㄜˊ,mǎn é,
