㓦劃	bohua
一腳地	yijiaodi
一葉蔽目，不見泰山	yiyebimu,bujiantaishan
一葉障目，不見泰山	yiyezhangmu,bujiantaishan
一著	yizhao
一著	yizhuo
一著不慎，滿盤皆輸	yizhuobushen,manpanjieshu
一著錯，滿盤俱是空	yizhuocuo,manpanjushikong
一蒂兒到底	yidirdaodi
一行	yihang
一行三昧	yihangsanmei
一覽了然	yilanliaoran
一角	yijue
一言中的	yiyanzhongdi
一言已定，千金不移	yiyanyiding,qianjinbuyi
一言既出，駟馬難追	yiyanjichu,simananzhui
一言既出，駟馬難追	yiyanjichusimananzhui
一語中的	yiyuzhongdi
一語破的	yiyupodi
一貧似水	yipinsishui
一貴一賤，交情乃見	yiguiyijian,jiaoqingnaixian
一走了之	yizouliaozhi
一較長短	yijiaochangduan
一輩兒	yibeir
一輩兒	yiber
一轍	yiche
一過眼兒	yiguoyanr
一過眼兒	yiguoyar
一還一報	yihuanyibao
一邱貉	yiqiuhe
一部二十四史，不知從何說起	yibuershisishi,buzhicongheshuoqi
一酬一酢	yichouyizuo
一針見血	yizhenjianxie
一銃子性兒	yichongzixingr
一錢不落虛空地	yiqianbuluoxukongdi
一長一短	yichangyiduan
一長二短	yichangerduan
一長兩短	yichangliangduan
一長半短	yichangbanduan
一隅之地	yiyuzhidi
一隻碗不響，兩隻碗叮噹	yizhiwanbuxiang,liangzhiwandingdang
一零兒	yilingr
一面兒官司	yimianrguansi
一面兒官司	yimiarguansi
一鞭一條痕，一摑一掌血	yibianyitiaohen,yiguoyizhangxie
一順兒	yishunr
一頭人情，兩面光	yitourenqing,liangmianguang
一頭兒沉	yitourchen
一頭放火，一頭放水	yitoufanghuo,yitoufangshui
一飲一啄，莫非前定	yiyinyizhuo,mofeiqianding
一鱗一爪	yilinyizhua
一鱗半爪	yilinbanzhua
一點兒	yidianr
一點兒	yidianr　
一點兒	yidiar
一龍生九種，種種各別	yilongshengjiu,zhongzhongzhonggebie
丁丁	zhengzheng
丁字兒	dingzer
丁字兒	dingzir
丁對丁，鐵對鐵	dingduiding,tieduitie
丁差	dingchai
丁彊	dingqiang
丁是丁，卯是卯	dingshiding,maoshimao
丁點兒	dingdianr
丁點兒	dingdiar
七了八當	qiliaobadang
七事兒	qisher
七事兒	qishir
七佛	qifo
七十二地煞	qishierdisha
七十二行	qishierhang
七孔流血	qikongliuxie
七年之病，求三年之艾	qinianzhibing,qiusannianzhiai
七行俱下	qihangjuxia
七返九還	qifanjiuhuan
七長八短	qichangbaduan
万俟	moqi
丈人行	zhangrenhang
丈夫一言，快馬一鞭	zhangfuyiyan,kuaimayibian
丈夫有淚不輕彈	zhangfuyouleibuqingtan
丈母娘看女婿，越看越有趣	zhangmuniangkannuxu,yuekanyueyouqu
三○一條款	sanlingyitiaokuan
三七仔	sanqizai
三七兒	sanqir
三世佛	sanshifo
三乘	sansheng
三人同心，其利斷金	sanrentongxin,qiliduanjin
三個臭皮匠，勝過諸葛亮	sangechoupijiang,shengguozhugeliang
三傳	sanzhuan
三分像人，七分像鬼	sanfenxiangren,qifenxianggui
三分匠人，七分主人	sanfenjiangren,qifenzhuren
三十六個牙齒，捉對兒廝打	sanshiliugeyachi,zhuoduirsida
三十六策，走是上計	sanshiliuce,zoushishangji
三十六著，走為上著	sanshiliuzhao,zouweishangzhao
三十六行	sanshiliuhang
三十六計，走為上策	sanshiliuji,zouweishangce
三十六計，走為上計	sanshiliuji,zouweishangji
三十年河東，三十年河西	sanshinianhedong,sanshinianhexi
三句不離本行	sanjubulibenhang
三句甜，兩句苦	sanjutian,liangjuku
三因佛性	sanyinfoxing
三天兩頭兒	santianliangtour
三天打魚，兩天晒網	santiandayu,liangtianshaiwang
三天打魚，兩天晒網	santiandayuliangtianshaiwang
三層大，二層小	sancengda,ercengxiao
三年不上門，當親也不親	sannianbushangmen,dangqinyebuqin
三徵七辟	sanzhengqibi
三戰三北	sanzhansanbo
三摩地	sanmodi
三日一小宴，五日一大宴	sanriyixiaoyan,wuriyidayan
三日不讀書，面目可憎	sanribudushu,mianmukezeng
三日打魚，兩日晒網	sanridayu,liangrishaiwang
三朝	sanzhao
三朝五日	sanzhaowuri
三框闌兒	sankuanglanr
三框闌兒	sankuanglar
三樂	sanyao
三百六十行	sanbailiushihang
三百六十行，行行出狀元	sanbailiushihang,hanghangchuzhuangyuan
三省	sanxing
三腳蝦蟆沒處尋	sanjiaohamameichuxun
三藏	sanzang
三藏法師	sanzangfashi
三藏法師傳	sanzangfashizhuan
三藐三佛陀	sanmiaosanfotuo
三行	sanhang
三軍可奪帥，匹夫不可奪志	sanjunkeduoshuai,pifubukeduozhi
三軍易得，一將難求	sanjunyide,yijiangnanqiu
三軍未發，糧草先行	sanjunweifa,liangcaoxianxing
三都賦	sandufu
三重	sanchong
三重埔	sanchongpu
三重門	sanchongmen
三長兩短	sanchangliangduan
三長四短	sanchangsiduan
三長齋月	sanchangzhaiyue
三階佛法	sanjiefofa
三點水兒	sandianshuer
三點水兒	sandianshuir
上不上，下不下	shangbushang,xiabuxia
上不了臺面	shangbuliaotaimian
上乘	shangsheng
上人兒	shangrenr
上人兒	shangrer
上剎	shangcha
上場門兒	shangchangmenr
上場門兒	shangchangmer
上天入地	shangtianrudi
上天無路，入地無門	shangtianwulu,rudiwumen
上尖兒	shangjianr
上尖兒	shangjiar
上山擒虎易，開口告人難	shangshanqinhuyi,kaikougaorennan
上座兒	shangzuor
上座部佛教	shangzuobufojiao
上廳行首	shangtinghangshou
上有天堂，下有蘇杭	shangyoutiantang,xiayousuhang
上有天堂，下有蘇杭	shangyoutiantangxiayousuhang
上歲數兒	shangsuishur
上無片瓦遮身，下無立錐之地	shangwupianwazheshen,xiawulizhuizhidi
上知天文，下知地理	shangzhitianwen,xiazhidili
上色	shangshai
上行	shanghang
上都	shangdu
下不了臺	xiabuliaotai
下乘	xiasheng
下地	xiadi
下地獄	xiadiyu
下巴頦	xiabake
下板兒	xiabanr
下板兒	xiabar
下聘	xiaping
下腳兒	xiajiaor
下都	xiadu
下飯菜兒	xiafancair
下飯菜兒	xiafancar
不乾不淨，吃了沒病	buganbujing,chilemeibing
不了	buliao
不了之局	buliaozhiju
不了了之	buliaoliaozhi
不了了當	buliaoliaodang
不了情	buliaoqing
不了漢	buliaohan
不了解	buliaojie
不什	bushe
不似	busi
不便宜	bupianyi
不修帷薄	buxiuweibo
不做釅醋，卻做餳糖	buzuoyancu,quezuoxingtang
不入獸穴，安得獸子	burushouxue,andeshouzi
不入獸穴，安得獸子	burushouxueandeshouzi
不入虎穴，不得虎子	buruhuxue,budehuzi
不入虎穴，不得虎子	buruhuxuebudehuzi
不入虎穴，焉得虎子	buruhuxue,yandehuzi
不入虎穴，焉得虎子	buruhuxueyandehuzi
不共天地	bugongtiandi
不分主從	bufenzhuzong
不分南北東西，不問張王李趙	bufennanbeidongxi,buwenzhangwanglizhao
不匱	bukui
不卜可知	bubukezhi
不受苦中苦，難為人上人	bushoukuzhongku,nanweirenshangren
不可無一，不可有二	bukewuyi,bukeyouer
不吃苦中苦，難為人上人	buchikuzhongku,nanweirenshangren
不同天地	butongtiandi
不吝賜教	bulinsijiao
不因一事，不長一智	buyinyishi,buzhangyizhi
不圖打點，只圖混水	butudadian,zhituhunshui
不在其位，不謀其政	buzaiqiwei,bumouqizheng
不在地主	buzaidizhu
不在行	buzaihang
不地著	budizhuo
不塞不流，不止不行	busebuliu,buzhibuxing
不多一會兒工夫	buduoyihuergongfu
不多一會兒工夫	buduoyihuirgongfu
不夠數兒	bugoushur
不如意事，十常八九	buruyishi,shichangbajiu
不孝有三，無後為大	buxiaoyousan,wuhouweida
不學亡術	buxuewushu
不完全給付	buwanquanjifu
不對勁	buduijing
不對碴兒	buduichar
不對茆荀兒	buduimaoxuer
不對茆荀兒	buduimaoxunr
不屑一世	buxueyishi
不弟	buti
不弱似	buruosi
不得了	budeliao
不得地	budedi
不忘溝壑	buwanggouhuo
不怕一萬，就怕萬一	bupayiwan,jiupawanyi
不怕不識貨，就怕貨比貨	bupabushihuo,jiupahuobihuo
不怕官，只怕管	bupaguan,zhipaguan
不怕慢，就怕站	bupaman,jiupazhan
不怕縣官，只怕現管	bupaxianguan,zhipaxianguan
不怕貨比貨，就怕不識貨	bupahuobihuo,jiupabushihuo
不怯氣	buqueqi
不恁麼	burenme
不患無位，患所以立	buhuanwuwei,huansuoyili
不成模樣	buchengmuyang
不戴帽兒的漢子	budaimaordehanzi
不探虎穴，安得虎子	butanhuxue,andehuzi
不探虎穴，安得虎子	butanhuxueandehuzi
不支倒地	buzhidaodi
不敗之地	bubaizhidi
不是一家人，不進一家門	bushiyijiaren,bujinyijiamen
不是了處	bushiliaochu
不是你死，就是我活	bushinisi,jiushiwohuo
不是個兒	bushiger
不是我，便是你	bushiwo,bianshini
不是撐船手，休來弄竹竿	bushichengchuanshou,xiulainongzhugan
不是東風壓了西風，就是西風壓了東風	bushidongfengyalexifeng,jiushixifengyaledongfeng
不是樣兒	bushiyangr
不是玩兒的	bushiwanrde
不是玩兒的	bushiwarde
不更事	bujingshi
不杖期夫	buzhangjifu
不櫛進士	bujiejinshi
不殺	bushai
不毛之地	bumaozhidi
不氣長	buqichang
不求有功，但求無過	buqiuyougong,danqiuwuguo
不為福始，不為禍先	buweifushi,buweihuoxian
不熟	bushou
不犯著	bufanzhao
不甚了了	bushenliaoliao
不用著急	buyongzhaoji
不畏彊禦	buweiqiangyu
不留餘地	buliuyudi
不當家豁拉	budangjiahuala
不痴不聾，不作家翁	buchibulong,buzuojiaweng
