㓦劃	bohua
只此一家，別無分店	zhiciyijia,biewufendian
只知其一，不知其二	zhizhiqiyi,buzhiqier
只知有己，不知有人	zhizhiyouji,buzhiyouren
只要功夫深，鐵杵磨成針	zhiyaogongfushen,tiechumochengzhen
只見樹木，不見森林	zhijianshumu,bujiansenlin
只許州官放火，不許百姓點燈	zhixuzhouguanfanghuo,buxubaixingdiandeng
叫天天不應，叫地地不靈	jiaotiantianbuying,jiaodidibuling
召之即來，揮之即去	zhaozhijilai,huizhijiqu
召南	shaonan
召棠	shaotang
召父杜母	shaofudumu
可了不得	keliaobude
可惡	kewu
可曾	kezeng
可耕地	kegengdi
可與共患難，不可與共樂	keyugonghuannan,bukeyugongle
史乘	shisheng
右地	youdi
右行	youhang
司空伎倆	sikongjiliang
吁咈都俞	xufuduyu
吃一塹，長一智	chiyiqian,zhangyizhi
吃不了	chibuliao
吃不了，兜著走	chibuliao,douzhezou
吃了蜜蜂兒屎似的	chilemifengrshiside
吃人一個蛋，恩情無法斷	chirenyigedan,enqingwufaduan
吃人兒的	chirenrde
吃人兒的	chirerde
吃人的嘴軟，拿人的手短	chirendezuiruan,narendeshouduan
吃兒	cher
吃兒	chir
吃口令	jikouling
吃味兒	chiweir
吃味兒	chiwer
吃喝兒	chiher
吃地面	chidimian
吃墨船兒	chimochuanr
吃子	jizi
吃得苦中苦，方為人上人	chidekuzhongku,fangweirenshangren
吃掛絡兒	chigualaor
吃瓦片兒	chiwapianr
吃瓦片兒	chiwapiar
吃生米兒的	chishengmirde
吃瞪眼兒食	chidengyanrshi
吃瞪眼兒食	chidengyarshi
吃紅白口兒	chihongbaikour
吃著碗裡，看著鍋裡	chizhewanli,kanzheguoli
吃著自己的飯，替人家趕獐子	chizhezijidefan,tirenjiaganzhangzi
吃虧就是占便宜	chikuijiushizhanpianyi
吃裡扒外	chilipawai
吃黑棗兒	chiheizaor
吃黑飯，護漆柱	chiheifan,huqizhu
吃齋唸佛	chizhainianfo
各人兒洗面兒各人兒光	gerenrximianrgerenrguang
各人兒洗面兒各人兒光	gererximiargererguang
各人自掃檐前雪，莫管他家瓦上霜	gerenzisaoyanqianxue,moguantajiawashangshuang
各人自掃門前雪，休管他人瓦上霜	gerenzisaomenqianxue,xiuguantarenwashangshuang
各人自掃門前雪，莫管他家瓦上霜	gerenzisaomenqianxue,moguantajiawashangshuang
各展其長	gezhanqichang
各有所長	geyousuochang
各肉兒各疼	gerourgeteng
各行各業	gehanggeye
各闢蹊徑	gepixijing
合不著	hebuzhao
合傳	hezhuan
合兒	her
合得著	hedezhao
合從	hezong
合意兒	heyer
合意兒	heyir
合成樂器	hechengyueqi
合沓	heta
合浦珠還	hepuzhuhuan
合浦還珠	hepuhuanzhu
吉丁疙疸	jidinggeda
吉凶未卜	jixiongweibu
吉卜賽人	jibusairen
吉卜齡	jibuling
吉吉枓枓	jijizhuzhu
吉地	jidi
吉布地	jibudi
吉布地共和國	jibudigongheguo
吉羊	jixiang
吉藏	jizang
吊兒郎當	diaorlangdang
吊子曰兒	diaoziyuer
吊腳兒	diaojiaor
同心方勝兒	tongxinfangshengr
同志天地	tongzhitiandi
同行	tonghang
同行相忌	tonghangxiangji
同行語	tonghangyu
名不正，則言不順	mingbuzheng,zeyanbushun
名不見經傳	mingbujianjingzhuan
名兒	mingr
名微德薄	mingweidebo
名著	mingzhu
名角	mingjue
名譽掃地	mingyusaodi
名都	mingdu
后辟	houbi
后里	houlixiang
吐屬	tuzhu
吐血	tuxie
吐谷渾	tuyuhun
吐魯番窪地	tulufanwadi
向地性	xiangdixing
君子一言，快馬一鞭	junziyiyan,kuaimayibian
君子一言，駟馬難追	junziyiyan,simananzhui
君子交絕，不出惡聲	junzijiaojue,buchuesheng
君子動口，小人動手	junzidongkou,xiaorendongshou
君子坦蕩蕩，小人長戚戚	junzitandangdang,xiaorenchangqiqi
君子報仇，十年不晚	junzibaochou,shinianbuwan
吞沒	tunmo
吞聲屏氣	tunshengbingqi
吟哦	yine
否剝	pibo
否去泰來	piqutailai
否往泰來	piwangtailai
否德	pide
否極必泰	pijibitai
否極泰來	pijitailai
否極泰遇	pijitaiyu
否極生泰	pijishengtai
否泰	pitai
否滯	pizhi
否終則泰	pizhongzetai
否終而泰	pizhongertai
否隔	pige
含情脈脈	hanqingmomo
含括	hangua
含笑入地	hanxiaorudi
含著骨頭露著肉	hanzhegutoulouzherou
含血噀人	hanxiexunren
含血噴人	hanxiepenren
含血潠人	hanxiexunren
听听	yinyin
吳昌碩	wuchangshi
吳都	wudu
吵嚷	chaorang　
吸血蛭	xixiezhi
吸血蟲	xixiechong
吸血鬼	xixiegui
吹奏樂器	chuizouyueqi
吹彈	chuitan
吹樂器	chuiyueqi
吹燈兒	chuidengr
吹糖人兒	chuitangrenr
吹糖人兒	chuitangrer
吾吾	yuyu
呀呷	xiaxia
呀然	xiaran
呀豁	xiahuo
呆似木雞	daisimuji
告么	gaoyao
告朔	gushuo
告朔餼羊	gushuoxiyang
告老還鄉	gaolaohuanxiang
呢呢痴痴	ninichichi
呢喃	ninan
呢喃細語	ninanxiyu
呢子	nizi
呢料	niliao
呢絨	nirong
呢衣	niyi
周內	zhouna
周召	zhoushao
周召共和	zhoushaogonghe
周給	zhouji
周行	zhouhang
周郎妙計高天下，賠了夫人又折兵	zhoulangmiaojigaotianxia,peilefurenyouzhebing
呫呫	cheche
呫嚅	cheru
呫囁	chezhe
呱呱	wawa
呱呱叫	guaguajiao
呱呱墜地	guguzhuidi
呱呱墜地	wawazhuidi
呱呱墮地	wawaduodi
呱嗒板兒	guadabanr
呱嗒板兒	guadabar
呱噪	guazao
味兒	weir
味兒	weir　
味兒	wer
呵佛罵祖	hefomazu
呼么喝六	huyaoheliu
呼之即至，揮之即去	huzhijizhi,huizhijiqu
呼吸調節中樞	huxitiaojiezhongshu
呼天搶地	hutianqiangdi
呼畢勒罕	hubilehan
命小福薄	mingxiaofubo
命薄	mingbo
命薄如花	mingboruhua
命薄相窮	mingboxiangqiong
呿唫	quyin
咂兒	zar
咄唶	duojie
咆烋	paoxiao
咇咇	bibi
咋呼	zehu
咋唶	zhajie
咋舌	zeshe
和丸教子	huowanjiaozi
和墨	huomo
和尚在，缽盂在	heshangzai,boyuzai
和弄	huonong
和牌	hupai
和稀泥	huoxini
和聲樂器	heshengyueqi
和調	hetiao
和麵	huomian
咎繇	gaoyao
咎陶	gaoyao
咫尺之地	zhichizhidi
咫角驂駒	zhijuecanju
咬人的狗兒不露齒	yaorendegourbulouchi
咬合調整	yaohetiaozheng
咬咬	jiaojiao
咬字兒	yaozer
咬字兒	yaozir
咬字眼兒	yaoziyanr
咬字眼兒	yaoziyar
咬文嚼字	yaowenjiaozi
咬舌兒	yaosher
咬薑呷醋	yaojiangxiacu
咭咭呱呱	jijiguagua
咯血	kaxie
咯血	luoxue
咱家	zajia
咳唾	ketuo
咳唾成珠	ketuochengzhu
咳嗽	kesou
咳痰	katan
咳血	kaxie
咿哩呱喇	yiliguala
咿喔	yiwo
哀恫	aitong
哀樂	aiyue
哀的美敦書	aidimeidunshu
哀鴻遍地	aihongbiandi
品度	pinduo
品竹彈絲	pinzhutansi
品竹調弦	pinzhutiaoxian
品竹調絲	pinzhutiaosi
哄嚇騙詐	honghepianzha
哄賺	hongzuan
哆張	chezhang
哈叭狗兒咬虼蚤	habagouryaogezao
哈哈兒	hahar
哈喇	kala
哎喲	aiyao
哏哏	henhen
哏毒	hendu
哥們兒	gemenr
哥們兒	gemer
哥兒	ger
哥兒倆	gerlia
哥兒們	germen
哥兒大爺	gerdaye
哦喲	oyao
哦詩	eshi
哩嗹花兒	lilianhuar
哪兒的話	nardehua
哪吒	nuozha
哪堝兒	naguor
哭天兒抹淚	kutianrmolei
哭天兒抹淚	kutiarmolei
哮闞	xiaohan
哱囉	poluo
哱息	poxi
哲夫成城，哲婦傾城	zhefuchengcheng,zhefuqingcheng
哼兒哈兒	hengrhar
哽咽	gengye
哽哽咽咽	genggengyeye
唄唱	baichang
唄讚	baizan
唆調	suotiao
唐三藏	tangsanzang
唐吉訶德傳	tangjihedezhuan
唐塞	tangse
唐山大地震	tangshandadizhen
唐樂	tangyue
唐王遊地府	tangwangyoudifu
唧唧呱呱	jijiguagua
唫嗻	yinzhe
唱喏	changre
唱門詞兒	changmencer
唱門詞兒	changmencir
唵噆	antzan
唼佞	qiening
唼喋	shazha
啀喍	yaichai
啁哳	zhouzha
啁啾	zhoujiu
啁噍	zhoujiu
啄針兒	zhuozhenr
啄針兒	zhuozher
商業銀行	shangyeyinhang
商行	shanghang
商賈	shanggu
啊喲	ayao
問卜	wenbu
問遺	wenwei
問長問短	wenchangwenduan
啑喋	shazha
啑血	jiexue
啜哄	chuohong
啜持	chuochi
啜汁	chuozhi
啜泣	chuoqi
啜茗	chuoming
啜茶	chuocha
啜菽飲水	chuoshuyinshui
啜賺	chuozuan
啜飲	chuoyin
啞咽	yaye
啞啞	ee
啞然	eran
啞然失笑	eranshixiao
啞然失色	eranshise
啞然無言	eranwuyan
啟白	qibo
啟蟄	qizhi
啼天哭地	titiankudi
喀什噶爾	kashigeer
喀什米爾	kashimier
喀喀	keke
喀斯特地形	kasitedixing
喀血	kexie
喁喁	yuyu
喁喁噥噥	yuyunongnong
喁喁細語	yuyuxiyu
善善從長	shanshancongchang
善善惡惡	shanshanwue
善巧便佞	shanqiaopianning
善有善報，惡有惡報	shanyoushanbao,eyouebao
善賈	shangu
善馬熟人	shanmashouren
喇叭口兒	labakour
喉塞音	houseyin
喉癌	houyan
喉長氣短	houchangqiduan
喋呷	diexia
喋喋便便	diediepianpian
喋血	diexie
喎斜	kuaixie
喑惡叱吒	yinwuchizha
喔咿	woyi
喔咿嚅唲	woyiruer
喔喔	wowo
喔喲	oyao
喘咳	chuanke
喙長三尺	huichangsanchi
喜地歡天	xidihuantian
喜洽	xixia
喜蟲兒	xichongr
喜鵲	xiqiao
喝六呼么	heliuhuyao
喝茅成劍，撒豆成兵	hemaochengjian,sadouchengbing
喫著不盡	chizhuobujin
喫虧的是乖，占便宜的是獃	chikuideshiguai,zhanpianyideshidai
喬志	jiaozhi
喬怯	jiaoqie
喬怯	qiaoque
喬模喬樣	qiaomuqiaoyang
單于	chanyu
單個兒	danger
單掉兒	dandiaor
單撒手兒	dansashour
單縣	shanxian
單腳鞋銀行	danjiaoxieyinhang
單薄	danbo
單騎	danji
喳呼	chahu
嗄程	shacheng
嗄飯	shafan
嗆咳	qiangke
嗌塞	yise
嗎兒	mar
嗑嗑	hehe
嗑西北風	hexibeifeng
嗒喪	tasang
嗒嗒	tata
嗒然	taran
嗒笞笞	tachichi
嗓兒	sangr
嗓門兒	sangmenr
嗓門兒	sangmer
嗚咽	wuye
嗚嗚咽咽	wuwuyeye
嗝兒	ger
嗣適	sidi
嗨喲	haiyao
嗷嗷嘔嘔	aoaoxuxu
嗻兒喳兒	zherzhar
嘁哩喀喳	qilikacha
嘁嘁喳喳	qiqichacha
嘉南大圳	jianandazun
嘉殽	jiayao
嘎兒	gar
嘎嘎兒	gagar
嘎嘎兒天	gagartian
嘎嘎棗兒	gagazaor
嘎巴兒	gabar
嘎渣兒	gazhar
嘓都嘓都	guoduguodu
嘔咐	xufu
嘔喻	xuyu
嘔嘔	xuxu
嘔心瀝血	ouxinlixie
嘔血	ouxie
嘰哩呱啦	jiliguala
嘲謔	chaonue
嘴上無毛，辦事不牢	zuishangwumao,banshibulao
嘴兒	zuer
嘴兒	zuir
嘴啃地	zuikendi
嘴尖舌薄	zuijianshebo
嘴強	zuijiang
嘴抹兒	zuimor
嘴盧都	zuiludu
嘵咋	xiaozha
嘶喝	siye
嘻嘻嗄嗄	xixishasha
嘽嘽	tantan
嘽緩	tanhuan
嘿嘿無言	momowuyan
嘿嘿無語	momowuyu
嘿然	moran
嘿記	moji
噀血噴人	xunxiepenren
噂沓	zunta
噌吰	chenghong
噍殺	jiaoshai
噏呷	xixia
噘嘴兒	juezuer
噘嘴兒	juezuir
噢咻	yuxu
噢咿	yuyi
器官銀行	qiguanyinhang
器樂	qiyue
噪音音樂	zaoyinyinyue
噯喲	aiyao
噯喲喲	aiyaoyao
噱頭	xuetou
噴薄	penbo
噴薄欲出	penboyuchu
噶個點兒	gagedianr
噶個點兒	gagediar
噶倫	gelun
噶大克	gedake
噶廈	gaxia
噹啷落地	danglangluodi
嚇嚇	hehe
嚇詐	hezha
嚇阻	hezu
嚌喳	jicha
嚎天動地	haotiandongdi
嚎天喊地	haotianhandi
嚏噴	tifen
嚜嚜	momo
嚼咬人	jiaoyaoren
嚼子	jiaozi
嚼用	jiaoyong
嚼穀	jiaogu
嚼舌	jiaoshe
嚼舌根	jiaoshegen
嚼舌頭	jiaoshetou
嚼菜根	jiaocaigen
嚼蛆	jiaoqu
嚼裹兒	jiaoguor
嚼說	jiaoshuo
嚼齒	jiaochi
囊括	nanggua
四六版	siliubanzhi
四大門兒	sidamenr
四大門兒	sidamer
四季花兒	sijihuar
四川盆地	sichuanpendi
四戰之地	sizhanzhidi
四方塊兒	sifangkuair
四方塊兒	sifangkuar
四至兒	sizher
四至兒	sizhir
四行倉庫	sihangcangku
四行孤軍	sihanggujun
四重奏	sichongzou
四門親家	simenqingjia
四馬攢蹄	simacuanti
四體不勤，五穀不分	sitibuqin,wugubufen
回頭兒	huitour
回鶻	huihu
回鶻文	huihuwen
因咽去食	yinyequshi
因地	yindi
因地制宜	yindizhiyi
囡仔	nanzai
囤塌	tunta
囤子	tunzi
囤積	tunji
囤積居奇	tunjijuqi
囤聚	tunju
囮子	youzi
困覺	kunjiao
囷倉	juncang
囷囷	junjun
囷窌	junjiao
囷鹿	junlu
圃畦	puxi
圈兒	quanr
圈兒	quar
圈檻	juanjian
圈肥	juanfei
圈馬	juanma
國家中山科學研究院	zhongshankexueyanjiuyuan
國家地震工程研究中心	guojiadizhengongchengyanjiuzhongxin
國家興亡，匹夫有責	guojiaxingwang,pifuyouze
國家音樂廳	guojiayinyueting
國有國法，家有家規	guoyouguofa,jiayoujiagui
國樂	guoyue
國民樂派音樂	guominyuepaiyinyue
國民銀行	guominyinhang
國都	guodu
國際地球物理年	guojidiqiuwulinian
國際清算銀行	guojiqingsuanyinhang
圍脖兒	weibor
園地	yuandi
圓熟	yuanshou
圓鑿方枘	yuanzuofangrui
圖度	tuduo
圖窮匕見	tuqiongbixian
圖窮匕首見	tuqiongbishouxian
團行	tuanhang
團龍兒	tuanlongr
圜丘	yuanqiu
圜扉	yuanfei
圜牆	yuanqiang
圜鍾	yuanzhong
圜鑿方枘	yuanzuofangrui
土參	tushen
土地	tudi
土地信託	tudixintuo
土地公	tudigong
土地國有	tudiguoyou
土地增值稅	tudizengzhishui
土地婆	tudipo
土地廟	tudimiao
土地徵收	tudizhengshou
土地所有權	tudisuoyouquan
土地所有權狀	tudisuoyouquanzhuang
土地改革	tudigaige
土地法	tudifa
土地登記	tudidengji
土地稅	tudishui
土地老爺放屁	tudilaoyefangpi
土地資源	tudiziyuan
土地重劃	tudichonghua
土地銀行	tudiyinhang
土堤	tuti
土杏兒	tuxingr
土老兒	tulaor
土著	tuzhu
土著	tuzhuo
土行	tuhang
在人矮簷下，怎敢不低頭	zairenaiyanxia,zenganbuditou
在家千日好，出門一時難	zaijiaqianrihao,chumenyishinan
在家靠父母，出外靠朋友	zaijiakaofumu,chuwaikaopengyou
在家靠父母，出外靠朋友	zaijiakaofumuchuwaikaopengyou
在行	zaihang
圩堤	yuti
圩子	yuzi
圩田	yutian
圮地	pidi
地丁	diding
地丁錢糧	didingqianliang
地上	dishang
地上權	dishangquan
地上物	dishangwu
地下	dixia
地下修文	dixiaxiuwen
地下修文郎	dixiaxiuwenlang
地下停車場	dixiatingchechang
地下化	dixiahua
地下夫人	dixiafuren
地下室	dixiashi
地下工作	dixiagongzuo
地下工廠	dixiagongchang
地下投資	dixiatouzi
地下有知	dixiayouzhi
地下核爆	dixiahebao
地下核試	dixiaheshi
地下水	dixiashui
地下水位	dixiashuiwei
地下水面	dixiashuimian
地下油行	dixiayouhang
地下的	dixiade
地下經濟	dixiajingji
地下舞廳	dixiawuting
地下莖	dixiajing
地下街	dixiajie
地下資源	dixiaziyuan
地下道	dixiadao
地下錢莊	dixiaqianzhuang
地下鐵	dixiatie
地下電臺	dixiadiantai
地中海	dizhonghai
地中海型貧血	dizhonghaixingpinxie
地主	dizhu
地主之誼	dizhuzhiyi
地主國	dizhuguo
地久天長	dijiutianchang
地位	diwei
地保	dibao
地價	dijia
地價公告	dijiagonggao
地價稅	dijiashui
地分	difen
地利	dili
地利之便	dilizhibian
地利人和	dilirenhe
地力	dili
地動	didong
地動儀	didongyi
地動山搖	didongshanyao
地勢	dishi
地勤	diqin
地匣	dixia
地區	diqu
地區方言	diqufangyan
地區通行證	diqutongxingzheng
地圈	diquan
地圖	ditu
地圖性視覺化	dituxingshijuehua
地土蛇	ditushe
地土風俗	ditufengsu
地址	dizhi
地坪	diping
地坼天崩	dichetianbeng
地域	diyu
地域性	diyuxing
地域觀念	diyuguannian
地基	diji
地塹	diqian
地壘	dilei
地大物博	didawubo
地大物豐	didawufeng
地契	diqi
地宮	digong
地層	diceng
地層下陷	dicengxiaxian
地峽	dixia
地崩山摧	dibengshancui
地師	dishi
地帶	didai
地平天成	dipingtiancheng
地平線	dipingxian
地底	didi
地府	difu
地府勾牌	difugoupai
地廣人稀	diguangrenxi
地廣人稠	diguangrenchou
地形	dixing
地形雨	dixingyu
地心	dixin
地心引力	dixinyinli
地志	dizhi
地戶	dihu
地擲球	dizhiqiu
地攤	ditan
地攤貨	ditanhuo
地支	dizhi
地政	dizheng
地方	difang
地方上	difangshang
地方人士	difangrenshi
地方人情	difangrenqing
地方分權	difangfenquan
地方官	difangguan
地方志	difangzhi
地方戲	difangxi
地方戲曲	difangxiqu
地方政府	difangzhengfu
地方新聞	difangxinwen
地方法院	difangfayuan
地方火甲	difanghuojia
地方稅	difangshui
地方自治	difangzizhi
地方色彩	difangsecai
地方議會	difangyihui
地望	diwang
地望高華	diwanggaohua
地板	diban
地板操	dibancao
地板運動	dibanyundong
地柱	dizhu
地棍	digun
地極	diji
地標	dibiao
地檢署	dijianshu
地權	diquan
地步	dibu
地段	diduan
地殼	dike
地殼變動	dikebiandong
地毯	ditan
地毯式	ditanshi
地氈	dizhan
地洞	didong
地溝	digou
地滅天誅	dimietianzhu
地滑	dihua
地炕	dikang
地無三里平	diwusanliping
地無不載	diwubuzai
地無立錐	diwulizhui
地煞	disha
地熱	dire
地牛發威	diniufawei
地牛翻身	diniufanshen
地牢	dilao
地獄	diyu
地球	diqiu
地球儀	diqiuyi
地球史	diqiushi
地球日	diqiuri
地球村	diqiucun
地球科學	diqiukexue
地球高峰會	diqiugaofenghui
地理	dili
地理位置	diliweizhi
地理先生	dilixiansheng
地理學	dilixue
地理師	dilishi
地理景觀	dilijingguan
地理環境	dilihuanjing
地理腳色	dilijiaose
地理資訊系統	dilizixunxitong
地理鬼	diligui
地瓜	digua
地瓜簽	diguaqian
地產	dichan
地界	dijie
地畝	dimu
地痞	dipi
地瘠人稀	dijirenxi
地癖	dipi
地皮	dipi
地盡其利	dijinqili
地盤	dipan
地盤下陷	dipanxiaxian
地目	dimu
地磁	dici
地磅	dibang
地磚	dizhuan
地祇	diqi
地租	dizu
地秤	dicheng
地積	diji
地窄路險	dizhailuxian
地窖	dijiao
地窨子	diyinzi
地窮山盡	diqiongshanjin
地籍	diji
地籍圖	dijitu
地籟	dilai
地經	dijing
地維	diwei
地網天羅	diwangtianluo
地緣	diyuan
地老天荒	dilaotianhuang
地老鼠	dilaoshu
地脈	dimai
地脊	diji
地腳	dijiao
地若瓜分	diruoguafen
地荒	dihuang
地著	dizhuo
地藏	dizang
地藏寺	dizangsi
地藏王	dizangwang
地藏王菩薩	dizangwangpusa
地藏菩薩	dizangpusa
地蠟	dila
地衣	diyi
地表	dibiao
地裂山崩	dilieshanbeng
地裡鬼	diligui
地覆天翻	difutianfan
地角	dijiao
地角天涯	dijiaotianya
地誌	dizhi
地論師	dilunshi
地變	dibian
地貌	dimao
地質	dizhi
地質學	dizhixue
地質活動	dizhihuodong
地軸	dizhou
地輿	diyu
地道	didao
地鄰	dilin
地醜德齊	dichoudeqi
地里	dili
地鋪	dipu
地鐵	ditie
地陷	dixian
地雷	dilei
地震	dizhen
地震儀	dizhenyi
地震帶	dizhendai
地震強度	dizhenqiangdu
地震規模	dizhenguimo
地靈	diling
地靈人傑	dilingrenjie
地面	dimian
地頭	ditou
地頭人	ditouren
地頭文書鐵箍桶	ditouwenshutiegutong
地頭蛇	ditoushe
地頭鬼	ditougui
地黃	dihuang
地黃牛	dihuangniu
地點	didian
地龍	dilong
圳溝	zungou
坎兒	kanr
坎兒	kar
坎兒井	kanrjing
坎兒井	karjing
坏土	peitu
坐不改姓，行不改名	zuobugaixing,xingbugaiming
坐吃山空，立吃地陷	zuochishankong,lichidixian
坐地	zuodi
坐地分贓	zuodifenzang
坐家女兒	zuojianur
坐纛旂兒	zuodaoqir
坐賈	zuogu
坐騎	zuoji
坑兒	kengr
坡地	podi
坤角	kunjue
坦率	tanshuai
坦露	tanlou
坯子	peizi
坯布	peibu
坯料	peiliao
坯體	peiti
坼副	chepi
垃圾	lese
垃圾分類	lesefenlei
垃圾回收	lesehuishou
垃圾堆	lesedui
垃圾場	lesechang
垃圾子母車	lesezimuche
垃圾山	leseshan
垃圾桶	lesetong
垃圾焚化爐	lesefenhualu
垃圾相	lesexiang
垃圾筒	lesetong
垃圾箱	lesexiang
垃圾車	leseche
垃圾量	leseliang
垃圾食物	leseshiwu
垓埏	gaiyan
垸子	huanzi
埂堤	gengti
埃佛勒斯峰	aifolesifeng
埋冤	manyuan
埋天怨地	mantianyuandi
埋怨	manyuan
埋沒	maimo
城圈兒	chengquanr
城圈兒	chengquar
城子崖遺跡	chengziyaiyiji
城門失火，殃及池魚	chengmenshihuo,yangjichiyu
城門失火，殃及池魚	chengmenshihuoyangjichiyu
埏隧	yansui
埔心鄉	puxinxiang
埔里鎮	pulizhen
埤堄	bini
埤溼	bishi
執巾櫛	zhijinjie
執法不阿	zhifabue
執著	zhizhuo
執迷不省	zhimibuxing
培塿	poulou
基地	jidi
堂姊	tangjie
堂姊妹	tangjiemei
堅勁	jianjing
堆山塞海	duishansehai
堋的	pengdi
堤壩	tiba
堤封	tifeng
堤岸	tian
堤岸市	tianshi
堤防	tifang
堰塞湖	yansehu
報喏	baore
報差	baochai
報盤兒的	baopanrde
報盤兒的	baoparde
報苦窮兒	baokuqiongr
報關行	baoguanhang
場地	changdi
堵塞	duse
堵門兒	dumenr
堵門兒	dumer
塋地	yingdi
塌秧兒	tayangr
塌趿	tasa
塔里木盆地	talimupendi
塗地	tudi
塞內加爾	seneijiaer
塞內加爾共和國	seneijiaergongheguo
塞尚	seshang
塞席爾	sexier
塞席爾共和國	sexiergongheguo
塞擦音	secayin
塞淵	seyuan
塞源端本	seyuanduanben
塞爆音	sebaoyin
塞爾維亞	seerweiya
塞納河	senahe
塞耳	seer
塞耳偷鈴	seertouling
塞耳盜鐘	seerdaozhong
塞聲	sesheng
塞職	sezhi
塞責	seze
塞門	semen
塞音	seyin
填咽	tianye
填塞	tianse
填海新生地	tianhaixinshengdi
填海造地	tianhaizaodi
填溝壑	tiangouhuo
填街塞巷	tianjiesexiang
填還	tianhuan
塵剎	chencha
境地	jingdi
墊根兒	diangenr
墊根兒	dianger
墊沒	dianmo
墊踹兒	dianchuair
墊踹兒	dianchuar
墓地	mudi
墜地	zhuidi
墜歡重拾	zhuihuanchongshi
增聘	zengping
墩葫蘆，摔馬杓	dunhulu,shuaimashao
墮地	duodi
墮崖	duoyai
墳地	fendi
墾地	kendi
壁宿	bixiu
壅塞	yongse
壑谷	huogu
壓根兒	yagenr
壓根兒	yagenr　
壓根兒	yager
壓氣兒	yaqir
壓碟兒	yadier
壘窠兒	leiker
壝埒	weile
壞坯子	huaipeizi
壞血病	huaixiebing
壤地	rangdi
士別三日，刮目相待	shibiesanri,guamuxiangdai
士可殺，不可辱	shikesha,bukeru
壹敗塗地	yibaitudi
壺中天地	huzhongtiandi
壺漿塞道	hujiangsedao
壺漿簞食	hujiangdansi
壺裡乾坤	huliqiankun
壽星老兒	shouxinglaor
壽藏	shouzang
夏威夷音樂	xiaweiyiyinyue
夏楚	jiachu
夏畦	xiaxi
夏蟲朝菌	xiachongzhaojun
夔龍禮樂	kuilongliyue
外傳	waizhuan
外出血	waichuxie
外匯銀行	waihuiyinhang
外四家兒	waisijiar
外地	waidi
外秧兒	waiyangr
外行	waihang
外行人	waihangren
外行話	waihanghua
外道兒	waidaor
外長城	waichangcheng
外面兒光	waimianrguang
外面兒光	waimiarguang
夙夜不解	suyebuxie
多會兒	duohuer
多會兒	duohuir
多羅貝勒	duoluobeile
多言數窮	duoyanshuoqiong
多財善賈	duocaishangu
多重	duochong
多重人格	duochongrenge
多重國籍	duochongguoji
多重性格	duochongxingge
多錢善賈	duoqianshangu
夜兒個	yerge
夜月花朝	yeyuehuazhao
夜盆兒	yepenr
夜盆兒	yeper
夜長夢多	yechangmengduo
夜靜更長	yejinggengchang
夠勁	goujing
夠過兒	gouguor
夢熟黃粱	mengshouhuangliang
夢蘭叶吉	menglanxieji
大不了	dabuliao
大乘	dasheng
大乘佛教	dashengfojiao
大乘百法明門論	dashengbaifamingmenlun
大乘經典	dashengjingdian
大乘起信論	dashengqixinlun
大事化小，小事化無	dashihuaxiao,xiaoshihuawu
大事化小，小事化無	dashihuaxiaoxiaoshihuawu
大事化為小事，小事化為沒事	dashihuaweixiaoshi,xiaoshihuaweimeishi
大伙兒	dahuor
大伯子	dabaizi
大似	dasi
大個兒	dager
大出血	dachuxie
大剛來	daiganglai
大剛喒	daigangzan
大勇若怯	dayongruoque
大古	daigu
大古裡彩	daigulicai
大吃大嚼	dachidajiao
大品般若	dapinbore
大唐三藏取經詩話	datangsanzangqujingshihua
大喏	dare
大單于	dachanyu
大圈仔	daquanzai
大圜	dayuan
大地	dadi
大地主	dadizhu
大地回春	dadihuichun
大地重生	dadichongsheng
大塊兒	dakuair
大塊兒	dakuar
大壑	dahuo
大夥兒	dahuor
大夫	daifu
大奸似忠	dajiansizhong
大姊	dajie
大姦似忠	dajiansizhong
大學	taixue
大安地列斯群島	daandiliesiqundao
大宛	dayuan
大家	dagu
大家夥兒	dajiahuor
大小人兒	daxiaorenr
大小人兒	daxiaorer
大差	dachai
大廈	daxia
大廈將傾	daxiajiangqing
大廈棟梁	daxiadongliang
大廟	taimiao
大括弧	daguahu
大排行	dapaihang
大排長龍	dapaichanglong
大換血	dahuanxie
大摺兒	dazher
大擺褶子	dabaixuezi
大故	daigu
大敗塗地	dabaitudi
大晟府	dashengfu
大月氏	dayuezhi
大本兒	dabenr
大本兒	daber
大杖則走，小杖則受	dazhangzezou,xiaozhangzeshou
大模大樣	damudayang
大模廝樣	damusiyang
大毒日頭地下	daduritoudixia
大氣磅礴	daqipangbo
大洋盆地	dayangpendi
大溪地	daxidi
大煠八塊	dayebakuai
大率	dashuai
大盆地	dapendi
大目乾連冥間救母變文	damuqianlianmingjianjiumubianwen
大眾傳媒	dazhongmeijie
大秤分金銀，大碗吃酒肉	dachengfenjinyin,dawanchijiurou
大繆不然	damiuburan
大缸裡翻油，沿路拾芝麻	daganglifanyou,yanlushizhima
大羹玄酒	taigengxuanjiu
大腦出血性中風	danaochuxiexingzhongfeng
大腦門兒	danaomenr
大腦門兒	danaomer
大腸癌	dachangyan
大腹便便	dafupianpian
大腹賈	dafugu
大般涅槃經	daboniepanjing
大茅埔	damaopu
大著	dazhu
大藏經	dazangjing
大處著眼	dachuzhuoyan
